haskell-hscurses-doc 20061127
haskell-hsql-doc 20061127
haskell-hsql-doc 20061127
haskell-hsql-mysql-doc 20061127
haskell-hsql-mysql-doc 20061127
haskell-hsql-odbc-doc 20061127
haskell-hsql-odbc-doc 20061127
haskell-hsql-postgresql-doc 20061127
haskell-hsql-postgresql-doc 20061127
haskell-hsql-sqlite3-doc 20061127
haskell-hsql-sqlite3-doc 20061127
haskell-http-doc 20061127
haskell-http-doc 20061127
haskell-pcre-light-doc 20061127
haskell-pcre-light-doc 20061127
haskell-platform-doc 2013.2.0.0.debian3
haskell-platform-prof 2013.2.0.0.debian3
haskell-regex-base-doc 2013.2.0.0.debian3
haskell-regex-compat-doc 2013.2.0.0.debian3
haskell-regex-compat-doc 2013.2.0.0.debian3
haskell-regex-posix-doc 2013.2.0.0.debian3
haskell-regex-posix-doc 2013.2.0.0.debian3
haskell-src-exts-doc 2013.2.0.0.debian3
haskell-src-exts-doc 2013.2.0.0.debian3
haskell-uulib-doc 2013.2.0.0.debian3
haskell-uulib-doc 2013.2.0.0.debian3
haskell-zlib-doc 2013.2.0.0.debian3
haskell-zlib-doc 2013.2.0.0.debian3
haskell98-report 20080907-5
haskell98-tutorial 200006-2-1.1
haskelldb-doc 2.2.2-2
heimdal-docs 1.6~git20131207+dfsg-1ubuntu1.1
hepmc-reference-manual 2.06.09-1
hepmc-user-manual 2.06.09-1
hevea-doc 2.09-1
hmmer-doc 3.1b1-3
hol88-doc 2.02.19940316-19
hplip-doc 3.14.3-0ubuntu3.2
htdig-doc 1:3.2.0b6-12
httrack-doc 3.48.1-4ubuntu1
hwb 1:040412-6
hyperspec 1.30+nmu2
ibus-doc 1.5.5-1ubuntu3
icinga-doc 1.11.5-1~ubuntu14.04.1
icmake-doc 7.21.01-1
icu-doc 52.1-3ubuntu0.2
idzebra-2.0-doc 2.0.44-3.1
ifeffit-doc 2:1.2.11d-9.1
igstk-doc 4.4.0-6
iipimage-doc 0.9.9-2ubuntu2
imagemagick-doc 8:6.7.7.10-6ubuntu3
imview-doc 1.0.1-3
indent-doc 2.2.11-4
infernal-doc 1.1~rc4-2
info 5.2.0.dfsg.1-2
info2man 1.1-7
info2www 1.2.2.9-24
install-info 5.2.0.dfsg.1-2
installation-guide-amd64 20100518ubuntu10.14.04.1
installation-guide-armel 20100518ubuntu10.14.04.1
installation-guide-armhf 20100518ubuntu10.14.04.1
installation-guide-i386 20100518ubuntu10.14.04.1
installation-guide-ia64 20100518ubuntu10.14.04.1
installation-guide-kfreebsd-amd64 20100518ubuntu10.14.04.1
installation-guide-kfreebsd-i386 20100518ubuntu10.14.04.1
installation-guide-mips 20100518ubuntu10.14.04.1
installation-guide-mipsel 20100518ubuntu10.14.04.1
installation-guide-powerpc 20100518ubuntu10.14.04.1
installation-guide-s390 20100518ubuntu10.14.04.1
installation-guide-s390x 20100518ubuntu10.14.04.1
installation-guide-sparc 20100518ubuntu10.14.04.1
inventor-doc 2.1.5-10-18
ion-doc 3.2.0~dfsg1-1
iproute-doc 1:3.12.0-2
ipython-doc 1.2.1-2
isdnutils-doc 1:3.25+dfsg1-3.3ubuntu2
itcl3-doc 3.4.1-1ubuntu1
itk3-doc 3.3-4ubuntu1
ivy-doc 2.3.0-3
iwidgets4-doc 4.0.1-6
jargon 4.0.0-5.1
jargon-text 4.4.7-4
javacc-doc 5.0-5
javahelp2-doc 2.0.05.ds1-6
jblas-doc 1.2.3-3
jenkins-crypto-util-doc 1.1-2
jenkins-executable-war-doc 1.28-1
jenkins-memory-monitor-doc 1.7-2
jenkins-task-reactor-doc 1.3-1
jenkins-test-annotations-doc 1.0-1
jing-trang-doc 20131210+dfsg+1-1
jlint-doc 3.0-4.5ubuntu1
jmagick6-docs 6.6.9~20130201-svn99-1ubuntu1
jmeter-apidoc 2.8-1
jmeter-help 2.8-1
jquery-alternative-doc 1.7+dfsg-1
jta-doc 2.6+dfsg-6
junior-doc 1.16.1
junit-doc 3.8.2-8build1
junit4-doc 4.11-2
jvim-doc 3.0-2.1b-3
jython-doc 2.5.3-1
kdiff3-doc 0.9.97-3
kdoctools 4:4.13.3-0ubuntu0.2
keepass2-doc 2.25+dfsg-1ubuntu0.1
keystone-doc 1:2014.1.4-0ubuntu2
kicad-doc-it 0.20131208+bzr4024-1ubuntu2
kicad-doc-pl 0.20131208+bzr4024-1ubuntu2
kicad-doc-pt 0.20131208+bzr4024-1ubuntu2
kildclient-doc 2.11.1-1build2
kile-doc 4:2.1.3-2ubuntu1
kimwitu++-doc 2.3.13-2
kimwitu-doc 10a+1-2.2
krb5-doc 1.12+dfsg-2ubuntu5.1
krecipes-doc 2.0~beta2-3
kst-doc 2.0.3-1.3
kwwidgets-doc 1.0.0~cvs20100930-8
lam-mpidoc 7.1.4-3.1
lame-doc 3.99.5+repack1-3ubuntu1
lammps-doc 0~20131119.git7162cf0-1build1
latex2rtf-doc 2.3.5-0.1
lazarus-doc 1.0.10+dfsg-1
lazarus-doc 1.0.10+dfsg-1
lazarus-doc-0.9.30.4 1.0.10+dfsg-1
ldap-haskell-doc 1.0.10+dfsg-1
ldap-haskell-doc 1.0.10+dfsg-1
ldaptor-doc 0.0.43+debian1-7
ldtp-doc 2.3.1-1
lemonldap-ng-doc 1.2.5-1
lesstif-doc 1.2.5-1
leveldb-doc 1.15.0-2
lhapdf-ccwrap-doc 5.9.1-3build1
libabstract-ruby-doc 5.9.1-3build1
libaccess-modifier-checker-java-doc 1.4-1
libace-doc 6.0.3+dfsg-0.2
libacegi-security-java-doc 1.0.7-3
libactiveldap-ruby-doc 1.0.7-3
libactiveldap-ruby-doc 1.0.7-3
libactivemq-activeio-java-doc 3.1.1-1
libactivemq-java-doc 5.6.0+dfsg-1
libactivemq-protobuf-java-doc 1.1-3build1
libakuma-java-doc 1.8-1
liballegro-doc 2:4.4.2-4
libamazonec2-ruby-doc 2:4.4.2-4
libamazonec2-ruby-doc 2:4.4.2-4
libanimal-sniffer-java-doc 1.7-2ubuntu1
libannotation-indexer-java-doc 1.3-1
libantelope-java-doc 3.5.1-2
