a56 1.3+dfsg-8
gnat-mingw-w64-x86-64 4.8.2-12ubuntu2+12.1
gnats 4.1.0-3
gnats-user 4.1.0-3
gnome-control-center-dev 1:3.6.3-0ubuntu56.1
gnome-core-devel 1:3.8+4ubuntu3
gnome-devel 1:3.8+4ubuntu3
gnome-pkg-tools 0.19.3ubuntu2
gnome-platform-devel 1:3.8+4ubuntu3
gnome-video-effects-dev 0.4.1-0ubuntu1
gnu-efi 3.0u+debian-1ubuntu2
gnulib 20140202+stable-1
gnumach-common 20140202+stable-1
gnumach-dev 20140202+stable-1
gnunet-gtk-dev 0.9.3-1
gob2 2.0.20-1
gobjc 4:4.8.2-1ubuntu6
gobjc++ 4:4.8.2-1ubuntu6
gobjc++-4.6 4.6.4-6ubuntu2
gobjc++-4.6-multilib 4.6.4-6ubuntu2
gobjc++-4.7 4.7.3-12ubuntu1
gobjc++-4.7-multilib 4.7.3-12ubuntu1
gobjc++-mingw-w64 4.8.2-10ubuntu2+12
gobjc++-mingw-w64-i686 4.8.2-10ubuntu2+12
gobjc++-mingw-w64-x86-64 4.8.2-10ubuntu2+12
gobjc++-multilib 4:4.8.2-1ubuntu6
gobjc-4.6 4.6.4-6ubuntu2
gobjc-4.6-multilib 4.6.4-6ubuntu2
gobjc-4.7 4.7.3-12ubuntu1
gobjc-4.7-multilib 4.7.3-12ubuntu1
gobjc-mingw-w64 4.8.2-10ubuntu2+12
gobjc-mingw-w64-i686 4.8.2-10ubuntu2+12
gobjc-mingw-w64-x86-64 4.8.2-10ubuntu2+12
gobjc-multilib 4:4.8.2-1ubuntu6
gobject-introspection 1.40.0-1ubuntu0.2
golang 2:1.2.1-2ubuntu1
golang-go 2:1.2.1-2ubuntu1
golang-mode 2:1.2.1-2ubuntu1
golang-src 2:1.2.1-2ubuntu1
gonzui 2:1.2.1-2ubuntu1
google-mock 1.6.0+svn437-0ubuntu5
google-perftools 2.1-2ubuntu1
gperf 3.0.4-1
gperf-ace 6.0.3+dfsg-0.2
gplcver 2.12a-1.1
gpp 2.24-3
gprbuild 2011-4
gprolog 1.3.0-6.1
gpsim-dev 0.27.0-1
gpt 1.1-2ubuntu1
graph-includes 0.13-1.1
graphviz-dev 2.36.0-0ubuntu3.1
graphviz-dev 2.36.0-0ubuntu3.1
grass-dev 6.4.3-3
grcompiler 4.2-3
grfcodec 6.0.3-1
grid-packaging-tools 3.6.7-1
gromacs-dev 4.6.5-1build1
gsasl 1.8.0-2ubuntu2
gsoap 2.8.16-2
gstreamer0.10-plugins-cutter 1.1.7-1.2ubuntu3
gthumb-dev 3:3.3.1.is.3.2.7-0ubuntu1
gtkaml 0.5.91-1ubuntu2
guilt 0.35-1.2ubuntu1
hardening-includes 2.5ubuntu2.1
hardening-wrapper 2.5ubuntu2.1
haskell-debian-utils 3.79.2-1build5
headache 1.03-24build1
heartbeat-dev 1:3.0.5-3.2
heimdal-dev 1.6~git20131207+dfsg-1ubuntu1.1
heimdal-multidev 1.6~git20131207+dfsg-1ubuntu1.1
helium 1.6~git20131207+dfsg-1ubuntu1.1
hello 2.8-4
hello 2.8-4
hello-debhelper 2.8-1
help2man 1.44.1
hepmc-examples 2.06.09-1
hexec 0.2.1-3
highlight 3.9-1build1
highlight-common 3.9-1build1
hime-dev 0.9.9+git20120619+dfsg-1
hp48cc 1.3-5
ht 2.0.22-2
httest 2.4.8-1
hybrid-dev 1:8.1.13.dfsg.1-1
iasl 20140214-1ubuntu1
ice34-services 20140214-1ubuntu1
ice34-slice 20140214-1ubuntu1
ice34-translators 20140214-1ubuntu1
icebox 3.5.1-5.2
icedtea6-plugin 3.5.1-5.2
icedtea6-plugin 3.5.1-5.2
icee-slice 1.2.0-6.1ubuntu1
icee-translators 1.2.0-6ubuntu1
icegrid-gui 3.5.1-5.2
iceweasel-dbg 3.5.1-5.2
icheck 0.9.7-6.1build4
icmake 7.21.01-1
icon-ipl 9.4.3-4.2ubuntu1
iconc 9.4.3-4.2ubuntu1
icont 9.4.3-4.2ubuntu1
iconx 9.4.3-4.2ubuntu1
id-utils 4.6+git20120811-4ubuntu1
idn2 0.9-1
indent 2.2.11-4
inn2-dev 2.5.3-3ubuntu1
insighttoolkit3-examples 3.20.1+git20120521-5
intel2gas 1.3.3-15
intltool 0.50.2-2
intltool-debian 0.35.0+20060710.1
inventor-dev 2.1.5-10-18
iptables-dev 1.4.21-1ubuntu1
isc-dhcp-dev 4.2.4-7ubuntu12.1
itcl3-dev 3.4.1-1ubuntu1
itk3-dev 3.3-4ubuntu1
ivtools-dev 1.2.11a1-2
jam 2.5rel-1
