openoffice.org-l10n-uz 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-ve 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-vi 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-xh 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-za 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-zh-cn 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-zh-tw 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-zu 1:0.2+svn20100315.r1208-2
pennmush-i18n 1.8.2p8-1.1ubuntu1
phpbb3-l10n 3.0.12-1
pysycache-i18n 3.1-3
qtcurve-i18n 3.1-3
qtmobility-l10n 1.2.0-3ubuntu5
rpm-i18n 4.11.1-3ubuntu0.1
squid-langpack 20121005-1
squirrelmail-locales 1.4.18-20090526-1
sylpheed-i18n 3.4.1-0ubuntu0.1
tegaki-zinnia-japanese 0.3-1
tegaki-zinnia-simplified-chinese 0.3-1
tryton-modules-account-de-skr03 3.0.0-2
tzdata 2015b-0ubuntu0.14.04
util-linux-locales 2.20.1-5.1ubuntu20.4
wordpress-l10n 3.8.2+dfsg-1ubuntu0.1
wx2.8-i18n 2.8.12.1+dfsg-2ubuntu2
xfe-i18n 1.37-1
