a2ps 1:4.14-1.3
libwbxml2-utils 0.10.7-1
libxml2-utils 2.9.1+dfsg1-3ubuntu4.4
lincredits 0.7
link-grammar 4.7.4-2ubuntu1
link-grammar-dictionaries-en 4.7.4-2ubuntu1
link-grammar-dictionaries-lt 4.7.4-2ubuntu1
linuxdoc-tools 0.9.69-2
linuxdoc-tools-info 0.9.69-2
linuxdoc-tools-latex 0.9.69-2
linuxdoc-tools-text 0.9.69-2
logidee-tools 1.2.16
lookup 1.08b-11
lout 3.39-1
lout-common 3.39-1
ludevit 7+nmu1
lv 4.51-2.2
magicfilter 1.2-64
makedic 6.5deb2-9
mgdiff 1.0-29.1
miscfiles 1.4.2.dfsg.1-9.1
misery 0.2-1build1
morsegen 0.2.1-1
most 5.0.0a-2.3
mova 4.0-4.2
mp 3.7.1-11
mpage 2.5.6-1
mueller7-dict 2002.02.27-8
mueller7accent-dict 2002.02.27-8
mupdf 1.3-2
mupdf-tools 1.3-2
myspell-af 1:4.2.1-0ubuntu1.1
myspell-bg 4.1-3ubuntu1
myspell-ca 0.20111230b-4
myspell-cs 20040229-5.1
myspell-da 1.6.25-1.1
myspell-de-at 20120607-1
myspell-de-ch 20120607-1
myspell-de-de 20120607-1
myspell-de-de-oldspell 1:2-28
myspell-el-gr 0.8-2
myspell-en-au 2.1-5.4
myspell-en-gb 1:4.2.1-0ubuntu1.1
myspell-en-us 1:4.2.1-0ubuntu1.1
myspell-en-za 1:4.2.1-0ubuntu1.1
myspell-eo 2.1.2000.02.25-45
myspell-es 1.11-4
myspell-et 1:20030606-20
myspell-fa 0.20070816-3
myspell-fi 0.20070816-3
myspell-fo 0.4.2-1
myspell-fr 1.4-26
myspell-fr-gut 1:1.0-30
myspell-ga 2.0-22
myspell-gd 0.50-10
myspell-gv 0.50-11
myspell-he 1.2-2
myspell-hr 20060617-2.4
myspell-hu 1.6.1-1
myspell-hu 1.6.1-1
myspell-hy 0.20.0-2
myspell-it 1:4.2.1-0ubuntu1.1
myspell-ku 0.20.0-2build1
myspell-lt 1.2.1-4
myspell-lv 0.9.6-1
myspell-nb 2.0.10-5.1
myspell-nl 1:2.10-1
myspell-nn 2.0.10-5.1
myspell-pl 20130519-1
myspell-pt 20091013-4
myspell-pt-br 20131030-1
myspell-pt-pt 20091013-4
myspell-ru 0.99g5-18
myspell-sk 0.5.5a-2.3fakesync1
myspell-sl 1.0-5
myspell-sw 1:4.2.1-0ubuntu1.1
myspell-th 1:4.2.1-0ubuntu1.1
myspell-tl 0.4-0-10
myspell-uk 1.6.5-2
mythes-ca 1:4.2.1-0ubuntu1.1
mythes-cs 1:4.2.1-0ubuntu1.1
mythes-de 20120516-2
mythes-de-ch 20120516-2
mythes-en-au 2.1-5.4
mythes-en-us 1:4.2.1-0ubuntu1.1
mythes-fr 1:4.2.1-0ubuntu1.1
mythes-hu 1:4.2.1-0ubuntu1.1
mythes-it 2.0.7.gh.deb1-4.1
mythes-ne 1:4.2.1-0ubuntu1.1
mythes-pl 1.5-4ubuntu1
mythes-ro 1:4.2.1-0ubuntu1.1
mythes-ru 1:4.2.1-0ubuntu1.1
mythes-sk 1:4.2.1-0ubuntu1.1
namazu2 2.0.21-9
namazu2-common 2.0.21-9
namazu2-index-tools 2.0.21-9
natbraille 2.0rc3-2
ndtpd 1:1.0.dfsg.1-4.3
nkf 2.13-1
ocrodjvu 0.7.9-1.1
odt2txt 0.4+git20100620-1build1
ooo2dbk 2.1.0-1
opendict 0.6.3-4
opendict-plugins-lingvosoft 0.8-2
openjade 1.4devel1-21
openjade1.3 1.3.2-12ubuntu1
openoffice.org-dtd-officedocument1.0 2:1.0+LibO4.2.7-0ubuntu2
openoffice.org-hyphenation-af 2:1.0+LibO4.2.7-0ubuntu2
openoffice.org-hyphenation-af 2:1.0+LibO4.2.7-0ubuntu2
openoffice.org-hyphenation-ca 2:1.0+LibO4.2.7-0ubuntu2
openoffice.org-hyphenation-ca 2:1.0+LibO4.2.7-0ubuntu2
openoffice.org-hyphenation-de 2:1.0+LibO4.2.7-0ubuntu2
openoffice.org-hyphenation-de 2:1.0+LibO4.2.7-0ubuntu2
openoffice.org-hyphenation-en-us 2:1.0+LibO4.2.7-0ubuntu2
openoffice.org-hyphenation-en-us 2:1.0+LibO4.2.7-0ubuntu2
openoffice.org-hyphenation-fr 2:1.0+LibO4.2.7-0ubuntu2
openoffice.org-hyphenation-fr 2:1.0+LibO4.2.7-0ubuntu2
openoffice.org-hyphenation-hu 2:1.0+LibO4.2.7-0ubuntu2
openoffice.org-hyphenation-hu 2:1.0+LibO4.2.7-0ubuntu2
openoffice.org-hyphenation-it 2:1.0+LibO4.2.7-0ubuntu2
openoffice.org-hyphenation-it 2:1.0+LibO4.2.7-0ubuntu2
openoffice.org-hyphenation-lt 1.2.1-4
openoffice.org-hyphenation-pl 1.2.1-4
openoffice.org-hyphenation-pl 1.2.1-4
openoffice.org-hyphenation-ro 1.2.1-4
openoffice.org-hyphenation-ro 1.2.1-4
openoffice.org-hyphenation-sh 1.2.1-4
openoffice.org-hyphenation-sh 1.2.1-4
openoffice.org-hyphenation-sl 1.2.1-4
