0ad 0.0.16-2~ubuntu14.04.1
konquest 4:4.13.0-0ubuntu1
koules 1.4-20
kpat 4:4.13.0-0ubuntu1
krank 0.7+dfsg2-3
kraptor 0.0.20040403-8ubuntu1
kraptor-data 0.0.20040403-8ubuntu1
kreversi 4:4.13.0-0ubuntu1
ksame 4:4.13.0-0ubuntu1
kshisen 4:4.13.1-0ubuntu0.1
ksirk 4:4.13.0-0ubuntu1
kspaceduel 4:4.13.0-0ubuntu1
ksquares 4:4.13.0-0ubuntu1
ksudoku 4:4.13.3-0ubuntu0.1
ktron 4:4.13.0-0ubuntu1
ktuberling 4:4.13.0-0ubuntu1
kubrick 4:4.13.0-0ubuntu1
laby 0.6.3-1build1
laevateinn 0.6.3-1build1
late 0.1.0-12
late-data 0.1.0-12
lbreakout2 2.6.4-3
lbreakout2-data 2.6.4-3
lightsoff 1:3.8.0-1
lightyears 1.4-1
lincity 1.13.1-11
lincity-ng 2.0-4
lincity-ng-data 2.0-4
linthesia 0.4.2-6
liquidwar 5.6.4-3ubuntu1
liquidwar-data 5.6.4-3ubuntu1
liquidwar-server 5.6.4-3ubuntu1
littlewizard 1.2.2-1
littlewizard-data 1.2.2-1
lmarbles 1.0.7-1.1
lmemory 0.6c-7
londonlaw 0.2.1-17
lordsawar 0.2.0-2.1
lordsawar-data 0.2.0-2.1
love 0.8.0-6ubuntu2
lskat 4:4.13.1-0ubuntu0.1
ltris 1.0.19-1
lugaru 0~20110520.1+hge4354+dfsg-4
lugaru-data 0~20110520.1+hge4354-2
luola 1.3.2-9
luola-data 1.3.2-9
luola-levels 6.0-5
luola-nostalgy 1.2-3
macopix-gtk2 1.7.4-4
madbomber 0.2.5-5
madbomber-data 0.2.5-5
maelstrom 1.4.3-L3.0.6+main-4
magicmaze 1.4.3.6+dfsg-2
magicor 1.1-4build1
magicor-data 1.1-4build1
mah-jong 1.11-2
mahjongg 1:3.10.2-0ubuntu1
mame 0.152-0ubuntu2
mana 0.6.1-4
mana-data 0.6.1-4
mancala 1.0.3-1
matanza 0.13+ds1-5
mathwar 0.2.5-2
mazeofgalious 0.62.dfsg2-3
mazeofgalious-data 0.62.dfsg2-3
mednafen 0.8.D.3-6
megaglest 3.7.1-3
megaglest-data 3.7.1-1
mess 0.152-0ubuntu2
mess-data 0.152-0ubuntu2
mgt 2.31-6
micropolis 0.0.20071228-7
micropolis-data 0.0.20071228-7
minetest 0.4.9+repack-4ubuntu1
minetest-common 0.4.9+repack-4ubuntu1
minetest-server 0.4.9+repack-4ubuntu1
mirrormagic 2.0.2.0deb1-11
mirrormagic-data 2.0.2.0deb1-11
mmpong-caca 0.9.1-3
mmpong-gl 0.9.1-3
mmpong-gl-data 0.9.1-3
mmpongd 0.9.1-3
mokomaze 0.5.5+git8+dfsg0-3
monopd 0.9.3-7
monster-masher 1.8.1-6
monsterz 0.7.1-7
monsterz-data 0.7.1-7
moon-buggy 1.0.51-9.1
moon-buggy-esd 1.0.51-9.1
moon-lander 1:1.0-4ubuntu6
moon-lander-data 1:1.0-4ubuntu6
moria 5.6.debian.1-1
mousetrap 1.0c-1
mu-cade 0.11.dfsg1-8
mu-cade-data 0.11.dfsg1-8
mudlet 1:2.1-2
mupen64plus-audio-sdl 2.0-1build1
mupen64plus-data 2.0-4
mupen64plus-input-sdl 2.0-3
mupen64plus-rsp-hle 2.0-1
mupen64plus-rsp-z64 2.0.0-1
mupen64plus-ui-console 2.0-1
mupen64plus-video-arachnoid 2.0.0-1
mupen64plus-video-glide64 2.0.0-1
mupen64plus-video-rice 2.0-2
mupen64plus-video-z64 2.0.0-1build1
nethack-common 3.4.3-14
nethack-console 3.4.3-14
nethack-lisp 3.4.3-14
nethack-x11 3.4.3-14
netmaze 0.81+jpg0.82-14.1
netpanzer 0.8.4.debian.1-1.1
netpanzer-data 0.8.4.debian.1-1.1
netrek-client-cow 3.3.0-3
netris 0.52-9
nettoe 1.5-1.1ubuntu1
neverball 1.5.4-6
neverball-common 1.5.4-6
neverball-data 1.5.4-6
neverputt 1.5.4-6
neverputt-data 1.5.4-6
nexuiz 2.5.2+dp-2
nexuiz-data 2.5.2-6
nexuiz-music 2.5.2-6
nexuiz-server 2.5.2+dp-2
nexuiz-textures 2.5.2-6
nikwi 0.0.20120213-1
nikwi-data 0.0.20120213-1
ninix-aya 4.3.9-1
ninvaders 0.1.1-3
njam 1.25-8fakesync1
noiz2sa 0.51a-9
noiz2sa-data 0.51a-9
numptyphysics 0.2+svn157-0.2
ogamesim 1.18-1
ogamesim-www 0.34-1
omega-rpg 1:0.90-pa9-15
oneisenough 0.40-3
oneko 1.2.sakura.6-9
onscripter 20130929-1
oolite 1.77.1-3
oolite-data 1.77.1-3
oolite-data-sounds 1.77.1-3
open-invaders 0.3-4
open-invaders-data 0.3-4
openarena 0.8.8-9
openarena-081-maps 0.8.5split-2
openarena-081-misc 0.8.5split-2
openarena-081-players 0.8.5split-2
openarena-081-players-mature 0.8.5split-2
openarena-081-textures 0.8.5split-2
openarena-085-data 0.8.5split-2
openarena-088-data 0.8.8-1
openarena-data 0.8.5split-2
openarena-server 0.8.8-9
openbve 1.4.0.9-1
openbve-data 1.4.0.5+dfsg-3
opencity 0.0.6.4stable-3
opencity-data 0.0.6.4stable-3
openpref 0.1.3-1
openssn 1.4-1
openssn-data 1.4-1
openttd 1.3.3-1build1
openttd-data 1.3.3-1build1
openttd-opengfx 0.4.7-1
openttd-openmsx 0.3.1-2
openttd-opensfx 0.2.3-3
openyahtzee 1.9.1-2
orbital-eunuchs-sniper 1.30+svn20070601-4
orbital-eunuchs-sniper-data 1.30+svn20070601-4
out-of-order 1.0-2
overgod 1.0-4
overgod-data 1.0-4
pachi 1:1.0-7
pachi-data 1:1.0-7
pacman 10-17ubuntu2
pacman4console 1.2-5
palapeli 4:4.13.3-0ubuntu0.1
palapeli-data 4:4.13.3-0ubuntu0.1
pangzero 1.4-1
parsec47 0.2.dfsg1-6
parsec47-data 0.2.dfsg1-6
passage 4+dfsg1-2
pathogen 1.1.1-3
pathological 1.1.3-12
pathological-music 1.1.3-12
pcsxr 1.9.92-4
peg-e 1.1.2-1ubuntu2
peg-solitaire 2.0-2
pegsolitaire 0.0.4-1
penguin-command 1.6.11-1ubuntu1
pennmush 1.8.2p8-1.1ubuntu1
pennmush-common 1.8.2p8-1.1ubuntu1
pennmush-mysql 1.8.2p8-1.1ubuntu1
pente 2.2.5-7
pentobi 7.2-1
performous 0.7.0-3
performous-tools 0.7.0-3
pescetti 0.5-1
petris 1.0.1-8ubuntu1
pgn-extract 17.14-1
phalanx 22+d051004-13.1
phlipple 0.8.5-1build1
phlipple-data 0.8.5-1build1
pianobooster 0.6.4b-2
pinball 0.3.1-13.1ubuntu1
pinball-data 0.3.1-13.1ubuntu1
pinball-dev 0.3.1-13.1ubuntu1
pingus 0.7.6-1.1build2
pingus-data 0.7.6-1.1build2
pioneers 14.1-2
pioneers-console 14.1-2
pioneers-console-data 14.1-2
pioneers-data 14.1-2
pioneers-meta-server 14.1-2
pipenightdreams 0.10.0-13
pipenightdreams-data 0.10.0-13
pipewalker 0.9.4-2
pixbros 0.6.3-1
pixfrogger 1.0-2
planetpenguin-racer 0.4-5ubuntu1
planetpenguin-racer-extras 0.6-1
planetpenguin-racer-gimp-dev 0.4-5ubuntu1
planetpenguin-racer-gimp-dev 0.4-5ubuntu1
plee-the-bear 0.6.0-3
plee-the-bear-data 0.6.0-3
pokerth 1.1.1-2ubuntu2
pokerth-data 1.1.1-2ubuntu2
pokerth-server 1.1.1-2ubuntu2
polygen 1.0.6.ds2-13build1
polygen-data 1.0.6.ds2-13build1
polyglot 1.4.67b-1
pong2 0.1.3-1
powder 117-1
powermanga 0.90-dfsg-2ubuntu1
powermanga-data 0.90-dfsg-2ubuntu1
prboom 2:2.5.1.4~svn4356+dfsg1-1
primrose 6+dfsg1-3
projectl 1.001.dfsg1-6ubuntu1
purity 1-18
purity-ng 0.2.0-2
purity-off 0-3
pybik 1.1-2build2
pybridge 0.3.0-7.2
pybridge-common 0.3.0-7.2
pybridge-server 0.3.0-7.2
pychess 0.12~beta3-1
pykaraoke 0.7.5-1
pykaraoke-bin 0.7.5-1
pynagram 1.0.1-1
pyracerz 0.2-5
pyscrabble 1.6.2-9
pyscrabble-common 1.6.2-9
pyscrabble-server 1.6.2-9
pysolfc 2.0-3
pysolfc-cardsets 2.0+dfsg2-1
pysycache 3.1-3
pysycache-buttons-beerabbit 3.1-3
pysycache-buttons-crapaud 3.1-3
pysycache-buttons-ice 3.1-3
pysycache-buttons-wolf 3.1-3
pysycache-click-dinosaurs 3.1-3
pysycache-click-sea 3.1-3
pysycache-dblclick-appleandpear 3.1-3
pysycache-dblclick-butterfly 3.1-3
pysycache-images 3.1-3
pysycache-move-animals 3.1-3
pysycache-move-food 3.1-3
pysycache-move-plants 3.1-3
pysycache-move-sky 3.1-3
pysycache-move-sports 3.1-3
pysycache-puzzle-cartoons 3.1-3
pysycache-puzzle-photos 3.1-3
pysycache-sounds 3.1-3
python-pykaraoke 0.7.5-1
python-renpy 6.15.7-1ubuntu1
qgo 2.0~git-20131123-1build1
qonk 0.3.1-3.1
qstat 2.11-3
qtads 2.1.6-1
quadrapassel 1:3.8.2-1
quake 7
quake-server 7
quake3 7
quake3-server 7
quakespasm 0.85.9-1
quarry 0.2.0.dfsg.1-4
qxw 20110923-1ubuntu1
rafkill 1.2.2-4
rafkill-data 1.2.2-4
raincat 1.1.1.2-1
raincat-data 1.1.1.2-1
randtype 1.13-10
rapid-spring 1.13-10
realtimebattle 1.0.8-14
realtimebattle-common 1.0.8-14
redeclipse 1.4-5
redeclipse-data 1.4-2
redeclipse-server 1.4-5
reminiscence 0.2.1-2
renpy 6.15.7-1ubuntu1
renpy-demo 6.15.7-1ubuntu1
renpy-thequestion 6.15.7-1ubuntu1
ri-li 2.0.1-2
ri-li-data 2.0.1-2
ricochet 2.0.1-2
rlvm 0.13-1build1
robocode 1.6.2+dfsg-3.1
robotfindskitten 1.7320508.406-3
rockdodger 0.9.2-1
rocksndiamonds 3.3.0.1+dfsg1-2.2
rolldice 1.10-5
rott 1.1.2-1
rrootage 0.23a-9
rrootage-data 0.23a-9
salliere 0.10-1
sandboxgamemaker 2.7.1+dfsg-2build1
sauerbraten 0.0.20130203.dfsg-1
sauerbraten-data 0.0.20130203-1
sauerbraten-server 0.0.20130203.dfsg-1
sauerbraten-wake6 1.0-2
scid 1:4.3.0.cvs20120311-1ubuntu3
scid-data 1:4.3.0.cvs20120311-1ubuntu3
scid-rating-data 200901-2
scid-spell-data 200901-2
scorched3d 43.3.d+dfsg-1
scorched3d-data 43.3.d+dfsg-1
scottfree 1.14-9
scribble 1.11-1
scummvm 1.6.0+dfsg-3
scummvm-data 1.6.0+dfsg-3
sdl-ball 1.01-4
sdl-ball-data 1.01-4
sdlmame-tools 1.01-4
searchandrescue 1.5.0-1ubuntu1
searchandrescue-common 1.5.0-1ubuntu1
