0ad-dbg 0.0.16-2~ubuntu14.04.1
lib64gomp1-dbg 4.8.2-19ubuntu1
lib64itm1-dbg 4.8.2-19ubuntu1
lib64mudflap0-dbg 4.8.2-19ubuntu1
lib64objc3-dbg 4.6.4-6ubuntu2
lib64objc4-dbg 4.8.2-19ubuntu1
lib64quadmath0-dbg 4.8.2-19ubuntu1
lib64stdc++6-4.4-dbg 4.4.7-8ubuntu1
lib64stdc++6-4.6-dbg 4.6.4-6ubuntu2
lib64stdc++6-4.7-dbg 4.7.3-12ubuntu1
libaa1-dbg 1.4p5-41
libaccountsservice-dbg 0.6.35-0ubuntu7.1
libafrodite-0.12-2-dbg 0.6.35-0ubuntu7.1
libaio1-dbg 0.3.109-4
libalberta2-dbg 2.0.1-6
libalglib-2.6.0-dbg 2.0.1-6
libalog0.4.1-base-dbg 0.4.1-2
libalog0.4.1-full-dbg 0.4.1-2
libanalitza-dbg 4:4.13.0-0ubuntu1
libanet0.1-dbg 0.1-3
libao-dbg 1.1.0-2ubuntu2
libapache2-mod-fcgid-dbg 1:2.3.9-1
libapache2-mod-ldap-userdir-dbg 1.1.19-2.1
libapache2-mod-ruwsgi-dbg 1.9.17.1-5build5
libapache2-mod-uwsgi-dbg 1.9.17.1-5build5
libapq-postgresql3.2.0-dbg 3.2.0-2
libapq3.2.0-dbg 3.2.0-1
libapr1-dbg 1.5.0-1
libaprutil1-dbg 1.5.3-1
libaqbanking34-dbg 5.3.5beta-2
libarpack2-dbg 3.1.5-2
libasis2010-dbg 2010-6
libasound2-dbg 1.0.27.2-3ubuntu7
libassa3.5-5-dbg 3.5.1-3ubuntu1
libassuan0-dbg 2.1.1-1ubuntu1
libatk-adaptor-dbg 2.10.2-2ubuntu1
libatk-bridge2.0-0-dbg 2.10.2-2ubuntu1
libatk1-ruby1.8-dbg 2.10.2-2ubuntu1
libatk1.0-dbg 2.10.0-2ubuntu2
libatkmm-1.6-dbg 2.22.7-2ubuntu1
libatlas-cpp-0.6-1-dbg 0.6.2-3
libatspi-dbg 0.6.2-3
libatspi2.0-0-dbg 2.10.2.is.2.10.1-0ubuntu1
libaudiofile-dbg 0.3.6-2
libaunit-dbg 1.03-8
libav-dbg 6:9.18-0ubuntu0.14.04.1
libav-extra-dbg 6:9.18-0ubuntu0.14.04.1
libaws-dbg 2.10.2-4
libbabl-0.1-0-dbg 0.1.10-1ubuntu2
libbarry18-dbg 0.18.5-1
libbiosig1-dbg 1.3.0-2build2
libbisho-common0-dbg 0.27.2+git20111122.9e68ef3d-2
libbliss1d-dbg 0.72-5
libbluetooth3-dbg 4.101-0ubuntu13.1
libbluray1-dbg 1:0.5.0-1
libbognor-regis-0.6-0-dbg 0.6.12+git20101007.02c25268-8
libboolstuff-0.1-0-dbg 0.1.14-2
libboost-dbg 1.54.0.1ubuntu1
libboost1.49-dbg 1.54.0.1ubuntu1
libbox2d0-dbg 1.54.0.1ubuntu1
libbrlapi-dbg 5.0-2ubuntu2
libbsd0-dbg 0.6.0-2ubuntu1
libburn-dbg 1.3.4-0ubuntu1
