a2jmidid 8~dfsg0-1
libsox-fmt-oss 14.4.1-3ubuntu1
libsox-fmt-pulse 14.4.1-3ubuntu1
libttspico-data 1.0+git20130326-1ubuntu1
libttspico-utils 1.0+git20130326-1ubuntu1
libvisual-0.4-plugins 0.4.0.dfsg.1-7build1
libvisual-projectm 2.1.0+dfsg-1build2
liguidsoap 1.1.1-6ubuntu2
lilv-utils 0.16.0~dfsg0-1
linphone 3.6.1-2.1build2
linphone-common 3.6.1-2.1build2
linphone-nogtk 3.6.1-2.1build2
liquidsoap 1.1.1-6ubuntu2
liquidsoap-plugin-all 1.1.1-6ubuntu2
liquidsoap-plugin-alsa 1.1.1-6ubuntu2
liquidsoap-plugin-ao 1.1.1-6ubuntu2
liquidsoap-plugin-camlimages 1.1.1-6ubuntu2
liquidsoap-plugin-dssi 1.1.1-6ubuntu2
liquidsoap-plugin-faad 1.1.1-6ubuntu2
liquidsoap-plugin-flac 1.1.1-6ubuntu2
liquidsoap-plugin-gavl 1.1.1-6ubuntu2
liquidsoap-plugin-gd 1.1.1-6ubuntu2
liquidsoap-plugin-graphics 1.1.1-6ubuntu2
liquidsoap-plugin-gstreamer 1.1.1-6ubuntu2
liquidsoap-plugin-icecast 1.1.1-6ubuntu2
liquidsoap-plugin-jack 1.1.1-6ubuntu2
liquidsoap-plugin-ladspa 1.1.1-6ubuntu2
liquidsoap-plugin-lame 1.1.1-6ubuntu2
liquidsoap-plugin-lastfm 1.1.1-6ubuntu2
liquidsoap-plugin-lo 1.1.1-6ubuntu2
liquidsoap-plugin-mad 1.1.1-6ubuntu2
liquidsoap-plugin-ogg 1.1.1-6ubuntu2
liquidsoap-plugin-oss 1.1.1-6ubuntu2
liquidsoap-plugin-portaudio 1.1.1-6ubuntu2
liquidsoap-plugin-pulseaudio 1.1.1-6ubuntu2
liquidsoap-plugin-samplerate 1.1.1-6ubuntu2
liquidsoap-plugin-schroedinger 1.1.1-6ubuntu2
liquidsoap-plugin-sdl 1.1.1-6ubuntu2
liquidsoap-plugin-soundtouch 1.1.1-6ubuntu2
liquidsoap-plugin-speex 1.1.1-6ubuntu2
liquidsoap-plugin-taglib 1.1.1-6ubuntu2
liquidsoap-plugin-theora 1.1.1-6ubuntu2
liquidsoap-plugin-voaacenc 1.1.1-6ubuntu2
liquidsoap-plugin-vorbis 1.1.1-6ubuntu2
liquidsoap-plugin-xmlplaylist 1.1.1-6ubuntu2
ll-scope 0.2.1-3
lltag 0.14.4-2
lmms 1.0.0+stable-0ubuntu1
lmms-common 1.0.0+stable-0ubuntu1
