alice 0.19-1
libcipux-cat-web-perl 3.4.0.3-4.1
libcipux-dog-perl 3.4.0.0-6
libcipux-object-perl 3.4.0.5-2build1
libcipux-passwd-perl 3.4.0.3-2
libcipux-perl 3.4.0.13-4
libcipux-rbac-simple-perl 3.4.0.0-4
libcipux-rpc-client-perl 3.4.0.7-2
libcipux-rpc-perl 3.4.0.9-3
libcipux-storage-perl 3.4.0.2-6
libcipux-task-perl 3.4.0.7-4build1
libclamav-client-perl 0.11-2
libclass-accessor-chained-perl 0.01.1~debian-2.1
libclass-accessor-children-perl 0.02-1
libclass-accessor-class-perl 0.502-1
libclass-accessor-classy-perl 0.9.1-1
libclass-accessor-grouped-perl 0.10010-1
libclass-accessor-lvalue-perl 0.11-2
libclass-accessor-named-perl 0.008-1
libclass-accessor-perl 0.34-1
libclass-adapter-perl 1.07-1
libclass-autouse-perl 2.01-1
libclass-base-perl 0.05-1
libclass-c3-adopt-next-perl 0.12-1
libclass-c3-componentised-perl 1.001000-1
libclass-c3-perl 0.25-1
libclass-c3-xs-perl 0.13-1build4
libclass-container-perl 0.12-3
libclass-contract-perl 1.14-8
libclass-csv-perl 1.03-2.1
libclass-data-accessor-perl 0.04004-1
libclass-data-inheritable-perl 0.08-2
libclass-date-perl 1.1.10-1build3
libclass-dbi-abstractsearch-perl 0.07-3
libclass-dbi-asform-perl 2.42-6
libclass-dbi-fromcgi-perl 1.00-4
libclass-dbi-fromform-perl 0.04-3
libclass-dbi-loader-perl 0.34-2
libclass-dbi-loader-relationship-perl 1:1.2-4
libclass-dbi-mysql-perl 1.00-3
libclass-dbi-pager-perl 0.08-4
libclass-dbi-perl 3.0.17-4
libclass-dbi-pg-perl 0.09-4
libclass-dbi-plugin-abstractcount-perl 0.08-1
libclass-dbi-plugin-pager-perl 0.566-1
libclass-dbi-plugin-perl 0.03-5
libclass-dbi-plugin-retrieveall-perl 1.04-3
libclass-dbi-plugin-type-perl 0.02-7
libclass-dbi-sqlite-perl 0.11-4
libclass-dbi-sweet-perl 0.10-1
libclass-default-perl 1.51-2
libclass-delegator-perl 0.09-3
libclass-errorhandler-perl 0.03-1
libclass-factory-perl 1.06-2
libclass-factory-util-perl 1.7-2
libclass-field-perl 0.15-3
libclass-gomor-perl 1.02-1
libclass-handle-perl 1.07-2
libclass-inner-perl 0.200001-1
libclass-insideout-perl 1.13-2
libclass-inspector-perl 1.28-1
libclass-isa-perl 0.36-5
libclass-load-perl 0.20-1
libclass-load-xs-perl 0.06-1build1
libclass-loader-perl 2.03-1
libclass-makemethods-perl 1.01-4
libclass-meta-perl 0.66-1
libclass-method-modifiers-perl 2.09-1
libclass-methodmaker-perl 2.19-1
libclass-mix-perl 0.005-1
libclass-mixinfactory-perl 0.92-2
libclass-multimethods-perl 1.70-5
libclass-objecttemplate-perl 0.7-6
libclass-ooorno-perl 0.011-1
libclass-perl 1.00-2
libclass-pluggable-perl 0.022-2
libclass-prototyped-perl 1.13-1
libclass-returnvalue-perl 0.55-2
libclass-singleton-perl 1.4-1
libclass-spiffy-perl 0.15-3
