atfs-dev 1.4pl6-11
libcdio-dev 0.83-4.1ubuntu1
libcdio-paranoia-dev 0.83-4.1ubuntu1
libcdk5-dev 5.0.20060507-4
libcdparanoia-dev 3.10.2+debian-11
libcec-dev 2.1.4-1ubuntu2
libcegui-mk2-dev 0.7.6-2ubuntu4
libcext-dev 6.4.1-5
libcfg-dev 2.3.3-1ubuntu1
libcgal-dev 4.2-5ubuntu1
libcgic-dev 2.05-3
libcgicc5-dev 3.2.9-3
libcgns-dev 3.1.4.2-1
libcgroup-dev 0.38-1ubuntu2
libcgsi-gsoap-dev 1.3.5-3
libchamplain-0.12-dev 0.12.7-0ubuntu1
libchamplain-gtk-0.12-dev 0.12.7-0ubuntu1
libcharls-dev 1.0-5
libchasen-dev 2.4.5-12
libcheese-dev 3.10.2-0ubuntu2
libcheese-gtk-dev 3.10.2-0ubuntu2
libchewing3-dev 0.3.5-4build1
libchicken-dev 4.8.0.5-1
libchipcard-dev 5.0.3beta-4ubuntu1
libchise-dev 0.3.0-2ubuntu2
libchm-bin 2:0.40a-3
libchm-dev 2:0.40a-3
libchromaprint-dev 1.1-1
libcib1-dev 1.1-1
libcitadel-dev 8.24-1
libcitygml0-dev 0.14+svn128-1+3p0p1+4.1
libck-connector-dev 0.4.5-3.1ubuntu2
libclalsadrv-dev 2.0.0-3
libclam-dev 1.4.0-5.2
libclam-qtmonitors-dev 1.4.0-3.1
libclamav-dev 0.98.6+dfsg-0ubuntu0.14.04.1
libclang-common-dev 0.98.6+dfsg-0ubuntu0.14.04.1
libclang-dev 1:3.4-0ubuntu1
libclanlib-dev 1.0~svn3827-3build1
libclassad-dev 8.0.5~dfsg.1-1ubuntu1
libclaw-application-dev 1.7.3-1
libclaw-configuration-file-dev 1.7.3-1
libclaw-dev 1.7.3-1
libclaw-dynamic-library-dev 1.7.3-1
libclaw-graphic-dev 1.7.3-1
libclaw-logger-dev 1.7.3-1
libclaw-net-dev 1.7.3-1
libclaw-tween-dev 1.7.3-1
libclhep-dev 2.1.2.3-1
libcli-dev 1.9.6-1
libclippoly-dev 0.11-4
libclips-dev 6.24-3ubuntu1
libcliquer-dev 1.21-1
libcln-dev 1.3.3-1ubuntu1
libcloog-isl-dev 0.18.2-1
libcloog-ppl-dev 0.16.1-5
libclucene-dev 2.3.3.4-4build1
libclustalo-dev 1.2.1-1
libcluster-glue-dev 1.0.11+hg2754-1.1build1
libclutter-1.0-dev 1.16.4-0ubuntu2
libclutter-gst-dev 1.6.0-2build1
libclutter-gtk-1.0-dev 1.4.4-3ubuntu2.2
libclutter-imcontext-0.1-dev 0.1.4-3
libcluttergesture-dev 0.0.2.1-7
libcman-dev 0.0.2.1-7
libcminpack-dev 1.3.1-1
libcmis-dev 0.4.1-3ubuntu4
libcmor-dev 2.8.0-4ubuntu1
libcmph-dev 0.9-1ubuntu1
libcneartree-dev 3.1.1-2
libcnf-dev 4.0-2
libcob1-dev 1.1-1build1
libcogl-dev 1.16.2-1
libcogl-pango-dev 1.16.2-1
libcoin60-dev 1.16.2-1
libcojets2-dev 20061220+dfsg3-3
libcollectdclient-dev 5.4.0-3ubuntu2
libcollection-dev 0.3.0.1-4
libcolorblind-dev 0.0.1-1fakesync2
libcolord-dev 1.0.6-1
libcolord-gtk-dev 0.1.25-1.1
libcolorhug-dev 1.0.6-1
libcomedi-dev 0.10.1-1ubuntu2
libcomerr2-dbg 1.42.9-3ubuntu1.2
libcommoncpp2-dev 1.8.1-6ubuntu1
libcompfaceg1-dev 1:1.5.2-5
libconcord-dev 1.0-2ubuntu1
libconfdb-dev 1.0-2ubuntu1
libconfig++-dev 1.4.9-2
libconfig-dev 1.4.9-2
libconfuse-dev 2.7-4ubuntu1
libcontactsdb-dev 2.7-4ubuntu1
libcore++-dev 1.7-12
libcorelinux-dev 0.4.32-7.3ubuntu1
libcoroipcc-dev 0.4.32-7.3ubuntu1
libcoroipcs-dev 0.4.32-7.3ubuntu1
libcorosync-dev 2.3.3-1ubuntu1
libcos4-dev 4.1.6-2
libcoyotl-dev 3.1.0-6ubuntu1
libcpg-dev 2.3.3-1ubuntu1
libcpl-dev 6.4.1-5
libcppcutter-dev 1.1.7-1.2ubuntu3
libcppunit-dev 1.13.1-2ubuntu1
libcppunit-subunit-dev 0.0.18-0ubuntu7
libcpputest-dev 3.4-3
libcpufreq-dev 008-1
libcpuset-dev 1.0-4
libcqrlib2-dev 1.1.2-2
libcr-dev 0.8.5-2.1
libcrack2-dev 2.9.1-1build1
libcrmcluster1-dev 2.9.1-1build1
libcrmcommon2-dev 2.9.1-1build1
libcroco3-dev 0.6.8-2ubuntu1
libcrypto++-dev 5.6.1-6
libcryptsetup-dev 2:1.6.1-1ubuntu1
libcryptui-dev 3.8.0-1
libcrystalhd-dev 1:0.0~git20110715.fdd2f19-9ubuntu1
libcsfml-dev 2.1-2
libcsnd-dev 1:6.02~dfsg-1
libcsoap-dev 1.1.0-17.2
libcsound64-dev 1:6.02~dfsg-1
libcsoundac-dev 1:6.02~dfsg-1
libctapimkt0-dev 1:6.02~dfsg-1
libctdb-dev 2.5.1+debian0-1
libctemplate-dev 2.2-4ubuntu3
libctl-dev 3.1.0-5ubuntu1
libctpl-dev 0.3.3.dfsg-4
libcuba3-dev 3.0+20111124-2
libcudf-dev 0.6.3-2build1
libcue-dev 1.4.0-1
libcuneiform-dev 1.1.0+dfsg-4
libcunit1-dev 2.1-2.dfsg-1
libcunit1-ncurses-dev 2.1-2.dfsg-1
libcups2-dev 1.7.2-0ubuntu1.5
libcupscgi1-dev 1.7.2-0ubuntu1.5
libcupsdriver1-dev 1.7.2-0ubuntu1.5
libcupsfilters-dev 1.0.52-0ubuntu1.4
libcupsimage2-dev 1.7.2-0ubuntu1.5
libcupsmime1-dev 1.7.2-0ubuntu1.5
libcupsppdc1-dev 1.7.2-0ubuntu1.5
libcupt2-dev 1.7.2-0ubuntu1.5
libcupti-dev 5.5.22-3ubuntu1
libcurl3-dbg 7.35.0-1ubuntu2.3
libcurl4-gnutls-dev 7.35.0-1ubuntu2.3
libcurl4-nss-dev 7.35.0-1ubuntu2.3
libcurl4-openssl-dev 7.35.0-1ubuntu2.3
libcutter-dev 1.1.7-1.2ubuntu3
libcv-dev 2.4.8+dfsg1-2ubuntu1
libcvaux-dev 2.4.8+dfsg1-2ubuntu1
libcvc3-dev 2.4.1-4ubuntu1
libcvector2-dev 1.0.3.1-1
libcvm1-dev 0.96-1ubuntu2
libcw3-dev 3.0.2-1
libcwd 1.0.4-1
libcwidget-dev 0.5.16-3.5ubuntu1
libcwiid-dev 0.6.00+svn201-3.1
libcwnn-dev 1.1.1~a021+cvs20130302-4
libcxgb3-dev 1.3.1-1
libcxxtools-dev 2.2.1-1
libdacs-dev 1.4.28b-3ubuntu1
libdaemon-dev 0.14-2ubuntu1
libdancer-xml0-dev 0.8.2.1-3ubuntu2
libdap-dev 3.12.0-1
libdapl-dev 3.12.0-1
libdaq-dev 2.0.2-0ubuntu2
libdar-dev 2.4.8-1ubuntu1
libdatrie-dev 0.2.8-1
libdawgdic-dev 0.4.5-2
libdb++-dev 1:5.3.21~exp1ubuntu1
libdb-dev 1:5.3.21~exp1ubuntu1
libdb-java-dev 1:5.3.21~exp1ubuntu1
libdb-sql-dev 1:5.3.21~exp1ubuntu1
libdb5.1++-dev 5.1.29-7ubuntu1
libdb5.1-dev 5.1.29-7ubuntu1
libdb5.1-java-dev 5.1.29-7ubuntu1
libdb5.1-sql-dev 5.1.29-7ubuntu1
libdb5.1-stl-dev 5.1.29-7ubuntu1
libdballe-dev 5.18-1
libdballef-dev 5.18-1
libdbaudiolib0-dev 5.18-1
libdbi-dev 0.9.0-1
libdbus-1-dev 1.6.18-0ubuntu4.3
libdbus-c++-dev 0.9.0-6ubuntu1
libdbus-glib-1-dev 0.100.2-1
libdbusada0.2-dev 0.2-2
libdbusmenu-glib-dev 12.10.3+14.04.20140612-0ubuntu1
