2vcard 0.5-3
gpe-shield 0.1.6-1
gpe-taskmanager 0.1.6-1
gpe-todo 0.1.6-1
gpe-watch 0.1.6-1
gpesyncd 0.1.6-1
gpgsm 2.0.22-3ubuntu1.3
gpgv 1.4.16-1ubuntu2.3
gpgv-win32 1.4.16-1ubuntu2.3
gphoto2 2.5.3-1
gphotofs 0.5-2+fakesync
gpointing-device-settings 1.5.1-6ubuntu2
gpomme 1.39~dfsg-4
gpr 0.15deb-2
gprename 2.6.6-1
gpsbabel 1.4.3-1ubuntu1
gpsbabel-gui 1.4.3-1ubuntu1
gpsprune 15.1-1
gpw 0.0.19940601-8.1
grads 2:2.0.1-1build1
graphite-carbon 0.9.12-3
grep 2.16-1
gridengine-client 6.2u5-7.3
gridengine-common 6.2u5-7.3
gridengine-exec 6.2u5-7.3
gridengine-master 6.2u5-7.3
gridengine-qmon 6.2u5-7.3
gringotts 1.2.10-1
grokevt 0.4.1-7ubuntu1
gscan2pdf 1.2.3-1
gsmartcontrol 0.8.7-1
gstreamer-tools 0.10.36-1.2ubuntu3
gstreamer0.10-plugins-base-apps 0.10.36-1.1ubuntu2
gstreamer0.10-tools 0.10.36-1.2ubuntu3
gsynaptics 1.5.1-6ubuntu2
gt5 1.5.0~20111220+bzr29-1
gtimer 2.0.0-1.2
gtkhash 0.7.0-1ubuntu1
gtkhash-common 0.7.0-1ubuntu1
gtkperf 0.40+ds-2
gtkvncviewer 0.4-2.3
gtrayicon 1.1-1
guymager 0.7.3-2
gwenhywfar-tools 4.10.0beta-1
gwhere 0.2.3.dfsg.1-4
gworldclock 1.4.4-9ubuntu2
gzip 1.6-3ubuntu1
gzip-win32 1.6-3ubuntu1
gzrt 0.8-1
ha 0.999p+dfsg-4
hama-slide-mouse-control 1.0-2ubuntu2
hardlink 0.2.0
hashalot 0.3-5
hddtemp 0.3-beta15-52
hdup 2.0.14-4ubuntu1
hebcal 3.5-2
hesiod 3.2.1-2
hexcurse 1.55-2
hexer 0.1.7-1.1
hibernate 2.0+15+g88d54a8-1
hime 0.9.9+git20120619+dfsg-1
hime-anthy 0.9.9+git20120619+dfsg-1
hime-chewing 0.9.9+git20120619+dfsg-1
hime-data 0.9.9+git20120619+dfsg-1
hime-gtk3-immodule 0.9.9+git20120619+dfsg-1
hime-qt4-immodule 0.9.9+git20120619+dfsg-1
hime-tables 0.9.9+git20120619+dfsg-1
ho22bus 0.9.1-2ubuntu1
ho22bus-data 0.9.1-2ubuntu1
hoz 1.65-2
hoz-gui 1.65-2
hp-ppd 0.9ubuntu2+really-0.2
hpijs-ppds 3.14.3-0ubuntu3.2
hplip 3.14.3-0ubuntu3.2
hplip-data 3.14.3-0ubuntu3.2
hplip-gui 3.14.3-0ubuntu3.2
htop 1.0.2-3
httpcode 0.5-2
i2c-tools 3.1.0-2
i3status 2.8-1
i810switch 0.6.5-7.1
i8kutils 1.41
ibam 1:0.5.2-2.1ubuntu1
ibus 1.5.5-1ubuntu3
ibus-anthy 1.5.4-2
ibus-array 0.0.2-8
ibus-chewing 1.4.10.1-1
ibus-clutter 0.0+git20090728.a936bacf-5.1
ibus-googlepinyin 0.1.2-2
ibus-gtk 1.5.5-1ubuntu3
ibus-gtk3 1.5.5-1ubuntu3
ibus-hangul 1.4.2-3
ibus-input-pad 1.4.2-1
ibus-m17n 1.3.4-3ubuntu1
ibus-mozc 1.13.1651.102-2
ibus-pinyin 1.5.0-1ubuntu1
ibus-pinyin-db-android 1.5.0-1ubuntu1
ibus-pinyin-db-open-phrase 1.5.0-1ubuntu1
ibus-qt4 1.3.2-2
ibus-skk 1.4.1-3build1
ibus-sunpinyin 2.0.3-5build1
ibus-table 1.5.0.is.1.5.0.20130419-2
ibus-table-array30 1.4.6-Source-1
ibus-table-cantonhk 1.4.6-Source-1
ibus-table-cns11643 1.3.0.20100528-3
ibus-table-compose 1.3.0.20100528-3
ibus-table-emoji 1.3.0.20100528-3
ibus-table-erbi 1.4.6-Source-1
ibus-table-erbi-qs 1.4.6-Source-1
ibus-table-extraphrase 1.2.0.20100305-1
ibus-table-ipa-x-sampa 1.3.0.20100528-3
ibus-table-jyutping 1.4.6-Source-1
ibus-table-latex 1.3.0.20100528-3
ibus-table-rustrad 1.3.0.20100528-3
ibus-table-thai 1.3.0.20100528-3
ibus-table-translit 1.3.0.20100528-3
ibus-table-translit-ua 1.3.0.20100528-3
ibus-table-viqr 1.3.0.20100528-3
ibus-table-wu 1.4.6-Source-1
ibus-table-yawerty 1.3.0.20100528-3
ibus-table-yong 1.4.6-Source-1
ibus-tegaki 0.3.1-1ubuntu1
ibus-unikey 0.6.1-1build2
ibus-xkbc 1.3.3.20100922-4
ical2html 2.0-1ubuntu4
idecrypt 3.0.19.ds1-7
ideviceinstaller 1.0.1-0.2
ifuse 1.1.2-0.1
imageshack-uploader 1.1.2-0.1
imageshack-uploader-common 1.1.2-0.1
imdb-tools 0.9-1
imgtex 0.20050123-8
imhangul-common 2
imhangul-gtk2 2.1.1-1
imhangul-gtk3 3.1.1-1
imms-audacious 3.1.0~svn301-3
imms-common 3.1.0~svn301-3
initramfs-tools 0.103ubuntu4.2
innoextract 1.4-1
inosync 0.2.1-1
inotail 0.5-2
inoticoming 0.2.3-1
input-pad 1.0.3-1
input-utils 1.0-1
inputattach 1:1.4.7-1
