libcairo5c-0 1.13.0~20140204-0ubuntu1.1
libcairomm-1.0-1 1.10.0-1ubuntu3
libcal3d12 0.11.0-4.1ubuntu1
libcam6 0.11.0-4.1ubuntu1
libcamd2.2.0 0.11.0-4.1ubuntu1
libcamel-1.2-33 0.11.0-4.1ubuntu1
libcanberra-gstreamer 0.30-0ubuntu3
libcanberra-gtk-module 0.30-0ubuntu3
libcanberra-gtk0 0.30-0ubuntu3
libcanberra-gtk3-0 0.30-0ubuntu3
libcanberra-gtk3-module 0.30-0ubuntu3
libcanberra-pulse 0.30-0ubuntu3
libcanberra0 0.30-0ubuntu3
libcanlock2 2b-6
libcanna1g 3.7p3-12
libcap-ng0 0.7.3-1ubuntu2
libcap2 1:2.24-0ubuntu2
libcapi20-3 1:3.25+dfsg1-3.3ubuntu2
libcapsinetwork0c2a 0.3.0-8
libcaribou-common 0.4.13-0ubuntu1
libcaribou-gtk-module 0.4.13-0ubuntu1
libcaribou-gtk3-module 0.4.13-0ubuntu1
libcaribou0 0.4.13-0ubuntu1
libcbf0 0.9.2.2-1
libccaudio2 0.9.2.2-1
libccfits0 2.4-1ubuntu1
libccgnu2-1.8-0 1.8.1-6ubuntu1
libccid 1.4.15-1
libccolamd2.7.1 1.4.15-1
libcconv0 0.6.2-1ubuntu1
libccrtp0 2.0.6-3
libccs3 2.0.6-3
libccscript3-1.1-0 1.1.7-2ubuntu1
libccss-1-5 0.5.0-4
libcdaudio1 0.99.12p2-13
libcdb1 0.78
libcdd0 0.78
libcddb2 1.3.2-4fakesync2
libcdi0 1.6.2+dfsg.1-1
libcdio-cdda1 0.83-4.1ubuntu1
libcdio-paranoia1 0.83-4.1ubuntu1
libcdio13 0.83-4.1ubuntu1
libcdk5 5.0.20060507-4
libcdparanoia0 3.10.2+debian-11
libcdt4 3.10.2+debian-11
libcec1 3.10.2+debian-11
libcegui-mk2-0.7.6 0.7.6-2ubuntu4
libcext0 6.4.1-5
libcf0 1:4.1.3-7ubuntu2
libcfg4 1:4.1.3-7ubuntu2
libcfitsio3 3.340-2ubuntu2
libcg 3.1.0013-1
libcgal9 3.1.0013-1
libcggl 3.1.0013-1
libcgic2 2.05-3
libcgicc5 3.2.9-3
libcgns3.1 3.1.4.2-1
libcgraph5 3.1.4.2-1
libcgroup1 0.38-1ubuntu2
libcgsi-gsoap1 1.3.5-3
libchamplain-0.12-0 0.12.7-0ubuntu1
libchamplain-gtk-0.12-0 0.12.7-0ubuntu1
libcharls1 1.0-5
libchasen2 2.4.5-12
libcheese-gtk21 2.4.5-12
libcheese3 2.4.5-12
libchewing3 0.3.5-4build1
libchicken6 4.8.0.5-1
libchipcard-data 5.0.3beta-4ubuntu1
libchipcard6 5.0.3beta-4ubuntu1
libchipmunk0d1 5.0.3beta-4ubuntu1
libchise1 0.3.0-2ubuntu2
libchm1 2:0.40a-3
libcholmod1.7.1 2:0.40a-3
libchromaprint0 1.1-1
libcib1 1.1-1
libcitadel3 1.1-1
libcitygml0 0.14+svn128-1+3p0p1+4.1
libck-connector0 0.4.5-3.1ubuntu2
libckyapplet1 1.1.0-13ubuntu2
libclalsadrv2 2.0.0-3
libclam-qtmonitors1.4 1.4.0-3.1
libclam1.4 1.4.0-5.2
libclamav6 0.98.6+dfsg-0ubuntu0.14.04.1
libclamunrar6 0.96.4-1ubuntu1
libclanapp-1.0 1.0~svn3827-3build1
libclang1 1:3.4-0ubuntu1
libclansdl-1.0 1.0~svn3827-3build1
libclaw-application1 1.7.3-1
libclaw-configuration-file1 1.7.3-1
libclaw-dynamic-library1 1.7.3-1
libclaw-graphic1 1.7.3-1
libclaw-logger1 1.7.3-1
libclaw-net1 1.7.3-1
libclaw-tween1 1.7.3-1
libclhep2.1 2.1.2.3-1
libcli1.9 1.9.6-1
libclinica0 0.3.0-1
libclippoly0 0.11-4
libclips 6.24-3ubuntu1
libcliquer1 1.21-1
libcln6 1.3.3-1ubuntu1
libcloog-isl3 1.3.3-1ubuntu1
libcloog-ppl0 1.3.3-1ubuntu1
libclthreads2 2.4.0-5
libclucene0ldbl 2.4.0-5
libclutter-1.0-0 1.16.4-0ubuntu2
libclutter-1.0-common 1.16.4-0ubuntu2
libclutter-gst-1.0-0 1.6.0-2build1
libclutter-gtk-1.0-0 1.4.4-3ubuntu2.2
libclutter-imcontext-0.1-0 0.1.4-3
libcluttergesture-0.0.2-0 0.0.2.1-7
libclxclient3 3.9.0-1
libcman3 3.9.0-1
libcminpack1.0.90 1.3.1-1
libcmis-0.2-0 1.3.1-1
libcmor2 2.8.0-4ubuntu1
libcmph0 0.9-1ubuntu1
libcneartree5 3.1.1-2
libcob1 1.1-1build1
libcodeblocks0 13.12-3
libcogl-common 1.16.2-1
libcogl-pango0 1.16.2-1
libcogl9 1.16.2-1
libcoin60 1.16.2-1
libcoin60-runtime 1.16.2-1
libcojets2-gfortran 20061220+dfsg3-3
libcolamd2.7.1 20061220+dfsg3-3
libcollectdclient0 20061220+dfsg3-3
