3depict 0.0.15-3
science-biology 1.0ubuntu1
science-chemistry 1.0ubuntu1
science-config 1.0ubuntu1
science-dataacquisition 1.0ubuntu1
science-dataacquisition-dev 1.0ubuntu1
science-distributedcomputing 1.0ubuntu1
science-electronics 1.0ubuntu1
science-electrophysiology 1.0ubuntu1
science-engineering 1.0ubuntu1
science-engineering-dev 1.0ubuntu1
science-geography 1.0ubuntu1
science-highenergy-physics 1.0ubuntu1
science-highenergy-physics-dev 1.0ubuntu1
science-imageanalysis 1.0ubuntu1
science-linguistics 1.0ubuntu1
science-machine-learning 1.0ubuntu1
science-mathematics 1.0ubuntu1
science-mathematics-dev 1.0ubuntu1
science-meteorology 1.0ubuntu1
science-meteorology-dev 1.0ubuntu1
science-nanoscale-physics 1.0ubuntu1
science-nanoscale-physics-dev 1.0ubuntu1
science-neuroscience-cognitive 1.0ubuntu1
science-neuroscience-modeling 1.0ubuntu1
science-numericalcomputation 1.0ubuntu1
science-physics 1.0ubuntu1
science-physics-dev 1.0ubuntu1
science-psychophysics 1.0ubuntu1
science-robotics 1.0ubuntu1
science-simulations 1.0ubuntu1
science-statistics 1.0ubuntu1
science-tasks 1.0ubuntu1
science-typesetting 1.0ubuntu1
science-viewing 1.0ubuntu1
seaview 1:4.4.2-1
seesat5 1:4.4.2-1
seq-gen 1.3.3-1
seqan-apps 1.3.1-1
sextractor 2.8.6+dfsg-1
shelxle 1.0.657-1
sibsim4 0.20-2
sift 4.0.3b-4
sigma-align 1.1.3-3
sigviewer 0.5.1+svn556-1ubuntu3
sim4 0.0.20121010-1
simgrid 0.0.20121010-1
sixpack 1:0.68-1ubuntu1
slang-xfig 0.2.0~.35-1.1
spass 3.7-3
spatialite-bin 4.1.1-2
spd 1.3.0-1ubuntu1
squizz 0.99b+dfsg-3
sra-toolkit 2.1.7a-1ubuntu2
sra-toolkit-libs-dev 2.1.7a-1ubuntu2
sra-toolkit-libs0 2.1.7a-1ubuntu2
ssake 3.8.1-1
ssake-examples 3.8.1-1
staden-io-lib-utils 1.13.5-1.1
stardata-common 0.8
starplot 0.95.5-7
starpu-contrib-examples 1.1.0+dfsg-2ubuntu1
starpu-examples 1.1.0+dfsg-2
starpu-examples 1.1.0+dfsg-2
stellarium 0.12.4-1
stellarium-data 0.12.4-1
step 4:4.13.3-0ubuntu0.1
stimfit 0.13.13-1
sumo 0.19.0+dfsg-2
survex 1.2.11-1
survex-aven 1.2.11-1
survex-svxedit 1.2.11-1
swe-basic-data 1.80.00.0001-1ubuntu1
swe-standard-data 00004-1
syrthes 3.4.3-dfsg1-7
t-coffee 10.00.r1613-1
t-coffee-examples 10.00.r1613-1
tabix 0.2.6-2
tcd-utils 20061127-2
terraintool 1.12a-1
tessa 0.3.1-6build1
tessa-mpi 0.3.1-6build1
thepeg 1.8.0-1
thepeg-gui 1.8.0-1
thepeg-reference 1.8.0-1
therion 5.3.13-1
therion-viewer 5.3.13-1
theseus 2.0.6-1
tigr-glimmer 3.02-3
timbl 6.4.4-4
timblserver 1.7-4
tm-align 20130511+dfsg-1
transcalc 0.14-5ubuntu1
transtermhp 2.09-2
tree-ppuzzle 5.2-7ubuntu1
tree-puzzle 5.2-7ubuntu1
treeviewx 0.5.1+20100823-2
triangle-bin 1.6-2
tunnelx 20140102-1
twms 0.05t-2
ucto 0.5.3-3.1ubuntu1
udav 2.1.3.1-4ubuntu3
uhd-host 3.5.5-1
units-filter 3.5-3
urg-utils 0.8.18-2
v-sim 3.7.0-2ubuntu1
v-sim-common 3.7.0-2ubuntu1
v-sim-plugins 3.7.0-2ubuntu1
vcftools 0.1.11+dfsg-1
velvet 1.2.10+dfsg-1
velvet-example 1.2.10+dfsg-1
veusz 1.15-1build3
veusz-helpers 1.15-1build3
via-bin 1.15-1build3
viewmol 2.4.1-20
vistrails 2.0.alpha~1-3
vmtk 1.0.1-3
volview 3.4-3ubuntu1
vowpal-wabbit 7.3-1ubuntu1
voxbo 1.8.5~svn1246-1ubuntu2
wcslib-tools 4.20-2
wcstools 3.8.7-2
weka 3.6.10-2
wise 2.4.1-14
worldwind 2.4.1-14
xbs 0-8
xcrysden 1.5.53-1
xcrysden-data 1.5.53-1
xdrawchem 2.0-2
xflr5 6.09.06-2
xfoil 6.97.dfsg-5
xmakemol 5.16-7
xmakemol-gl 5.16-7
xmds 1.6.6-7
xpa-tools 2.1.15-3
xplot 1.19-9build1
xplot-xplot.org 0.90.7.1-2
xppaut 6.11b+1.dfsg-1
xtide 2.13-1
xtide-coastline 20020202-1
xtide-data 20100529-1
xtide-data-nonfree 20100529-1
xyscan 3.31-3
yade 1.07.0-2
yale 5.0.95-2
ygraph 0.16~cvs20090218-1.2ubuntu1
yorick 2.2.02+dfsg-6ubuntu2
yorick-av 0.0.2-1ubuntu2
yorick-cubeview 2.2-2
yorick-curses 0.1-6
yorick-data 2.2.02+dfsg-6ubuntu2
yorick-dev 2.2.02+dfsg-6ubuntu2
yorick-full 2.2.02+dfsg-6ubuntu2
yorick-gl 1.1+cvs20070922+dfsg-6.1
yorick-gyoto 0.1.0-2
yorick-hdf5 0.8.0-4
yorick-imutil 0.5.7-3
yorick-mira 0.9.10+dfsg-1
yorick-ml4 0.6.0-3
yorick-mpeg 0.1-3
yorick-mpy-common 2.2.02+dfsg-6ubuntu2
yorick-mpy-mpich2 2.2.02+dfsg-6ubuntu2
yorick-mpy-openmpi 2.2.02+dfsg-6ubuntu2
yorick-optimpack 1.3.2+dfsg-1
yorick-soy 1.4.0-3
yorick-spydr 0.8.2-3
yorick-svipc 0.14-2build4
yorick-yao 4.9.1-2
yorick-yeti 6.3.2-3ubuntu1
yorick-yeti-fftw 6.3.2-3ubuntu1
yorick-yeti-gsl 6.3.2-3ubuntu1
yorick-yeti-regex 6.3.2-3ubuntu1
yorick-yeti-tiff 6.3.2-3ubuntu1
yorick-yutils 1.5.2-1
yorick-z 1.2.0+cvs20080115-5
z88 13.0.0+dfsg2-3
z88-data 13.0.0+dfsg2-3
zimpl 3.3.1+dfsg-1
