afnix 2.2.0-2ubuntu1
swi-prolog-java 6.6.4-2ubuntu1
swi-prolog-nox 6.6.4-2ubuntu1
swi-prolog-odbc 6.6.4-2ubuntu1
swi-prolog-x 6.6.4-2ubuntu1
swig 2.0.11-1ubuntu2
swig-examples 2.0.11-1ubuntu2
swig2.0 2.0.11-1ubuntu2
swig2.0-examples 2.0.11-1ubuntu2
tcl 8.6.0+6ubuntu3
tcl-combat 0.8.1-1
tcl-funtools 1.4.4-6
tcl-memchan 2.3-2
tcl-signal 1.4-1
tcl-tclreadline 2.1.0-12
tcl-tls 1.6+dfsg-3
tcl-trf 2.1.4-dfsg2-1
tcl-vfs 1.3-20080503-4
tcl-vtk 5.8.0-14.1ubuntu3
tcl-xpa 2.1.15-3
tcl8.4 8.4.20-7
tcl8.5 8.5.15-2ubuntu1
tcl8.5-kwwidgets 1.0.0~cvs20100930-8
tclcurl 7.22.0-1
tclex 7.22.0-1
tclgeoip 0.2-1.1
tcllib 1.15-dfsg-2
tclodbc 2.5.1-2
tclspice 24-1.1ubuntu2
tclthread 24-1.1ubuntu2
tclx8.4 8.4.0-3.1
tclxapian 1.2.16-2ubuntu1
tclxml 3.3~svn11-3
tix 8.4.3-4ubuntu1
tk 8.6.0+6ubuntu3
tk-html3 3.0~fossil20110109-2
tk-table 2.10-1
tk-tktray 1.3.9-2
tk8.4 8.4.20-7
tk8.5 8.5.15-2ubuntu3
tkcon 2:2.7~20130123-1
tkinspect 5.1.6p10-4
tklib 0.6-1
xmltv 0.5.63-2
xmltv-gui 0.5.63-2
xmltv-util 0.5.63-2
yforth 0.2.1-1
zlib-gst 3.2.4-2
znc-tcl 1.2-3build1
