python-flufl.enum 3.3.2-1
python-flufl.i18n 1.1.1-3
python-flufl.lock 2.2.1-2
python-flufl.password 1.2.1-1
python-flup 1.0.2-4
python-fmcs 1.0-1
python-fontforge 20120731.b-5
python-foolscap 0.6.4-2
python-forgethtml 0.0.20031008-10ubuntu1
python-forgetsql 0.5.1-12build1
python-formalchemy 1.4.2-1
python-formencode 1.2.6-1ubuntu1
python-fpconst 0.7.2-5
python-freenect 1:0.2.0+dfsg-2
python-freevo 1.9.2b2-4.2
python-freshen 0.2-2
python-fs 0.3.0-2
python-ftdi 0.20-1ubuntu1
python-fudge 1.0.3-3
python-funcparserlib 0.3.6-2
python-fuse 2:0.2.1-9
python-gadfly 1.0.0-15.1
python-galleryremote 0.6-1.1build1
python-gamera 3.3.3-2ubuntu1
python-gamera-dev 3.3.3-2ubuntu1
python-gamera.toolkits.greekocr 1.0.1-4
python-gamera.toolkits.ocr 1.0.6-3
python-gamin 0.1.10-4.1ubuntu1
python-gammu 1.33.0-3
python-gaphas 0.7.2-1
python-gasp 0.3.4-1build1
python-gastables 0.3-2.1
python-gconf 2.28.1+dfsg-1ubuntu2
python-gd 0.56+dfsg-4build1
python-gdal 1.10.1+dfsg-5ubuntu1
python-gdata 2.0.18+dfsg-1
python-gdbm 2.7.5-1ubuntu1
python-gdchart2 0.beta1-3.4ubuntu3
python-gdcm 2.2.4-1.1ubuntu4
python-gearman 2.0.2-2build1
python-gearman.libgearman 0.13.2-3build2
python-genetic 0.1.1b-11build1
python-genshi 0.7-3
python-geoclue 0.1.0-4build1
python-geographiclib 1.21-1ubuntu1
python-geohash 0.8.3-1
python-geoip 1.3.2-1~14.04.1ubuntu1
python-geopy 0.95.1-1
python-germinate 2.16.1
python-getfem++ 4.2.1~beta1~svn4482~dfsg-2build1
python-gevent 1.0-1ubuntu1
python-gflags 1.5.1-1build1
python-gi 3.12.0-1ubuntu1
python-gi-cairo 3.12.0-1ubuntu1
python-gi-dev 3.12.0-1ubuntu1
python-git 0.3.2~RC1-3
python-gitdb 0.5.4-1
python-glade2 2.24.0-3ubuntu3
python-glance 1:2014.1.4-0ubuntu2
python-glitch 0.6-3
python-glpk 0.4.52-1.1
python-gluon 1.99.7-1
python-gmenu 3.0.1-0ubuntu9
python-gmpy 1.15-1
python-gnatpython 54-3
python-gnome2 2.28.1+dfsg-1ubuntu2
python-gnome2-desktop-dev 2.32.0+dfsg-3
python-gnome2-dev 2.28.1+dfsg-1ubuntu2
python-gnome2-extras-dev 2.28.1+dfsg-1ubuntu2
python-gnomedesktop 2.28.1+dfsg-1ubuntu2
python-gnomekeyring 2.32.0+dfsg-3
python-gnucash 1:2.6.1-2
python-gnupg 0.3.6-1
python-gnupginterface 0.3.2-9.1ubuntu3
python-gnuplot 1.8-5
python-gnutls 1.2.5-1
python-gobject 3.12.0-1ubuntu1
python-gobject-dev 3.12.0-1ubuntu1
python-goopy 3.12.0-1ubuntu1
python-gpgme 0.3-0ubuntu3
python-gpiv 2.0.0-4.1
python-gpod 0.8.3-4ubuntu3
python-gps 3.9-3
python-graphy 1.0+dfsg-3build1
python-greenlet 0.4.2-1build1
python-greenlet-dev 0.4.2-1build1
python-grib 1.9.8-1build2
python-gridfs 2.6.3-1build1
python-gst0.10 0.10.22-3ubuntu2
python-gst0.10-dev 0.10.22-3ubuntu2
python-gst0.10-rtsp 0.10.8-3
python-gtk-gnash 0.8.11~git20130903-3ubuntu1
python-gtk-vnc 0.5.3-0ubuntu2
python-gtk2 2.24.0-3ubuntu3
python-gtk2-dev 2.24.0-3ubuntu3
python-gtkglext1 1.1.0-9.1
python-gtkmvc 1.99.1-1build1
python-gtksourceview2 2.10.1-2build1
python-gtkspell 2.25.3-13
python-gudev 147.2-3
python-guestfs 1:1.24.5-1
python-guidata 1.6.1-1
python-guiqwt 2.3.1-1
python-gupnp-igd 0.2.2-1
python-gvgen 0.9-2build1
python-h5py 2.2.1-1build2
python-hachoir-core 1.3.3-3
python-hachoir-metadata 1.3.3-1
python-hachoir-parser 1.3.4-1
python-hachoir-regex 1.0.5-1
python-hachoir-subfile 0.5.3-2
python-hachoir-urwid 1.1-2
python-hachoir-wx 0.3-2
python-hamcrest 1.8.0-1
python-hdate 1.6-2ubuntu3
python-hijra 0.2.1-1
python-hippocanvas 0.3.1-1.1ubuntu1
python-hivex 1.3.9-2build1
python-hl7 0.2.2-1
python-html2text 3.200.3-2
python-html5lib 0.999-3~ubuntu1
python-htmlgen 2.2.2-12.1ubuntu1
python-htmltmpl 1.22-10
python-http-parser 0.8.3-1
python-httplib2 0.8-2build1
python-ibus 1.5.5-1ubuntu3
python-id3 1.2-6.2
python-ieee1284 0.2.11-12
python-ifeffit 2:1.2.11d-9.1
python-igraph 0.6.5-1
python-imaging 2.3.0-1ubuntu3
python-imaging-sane 2.3.0-1ubuntu3
python-imaging-tk 2.3.0-1ubuntu3
python-imdbpy 4.9-1
python-imobiledevice 1.1.5+git20140313.bafe6a9e-0ubuntu1
python-impacket 0.9.10-1
python-import-relative 0.9.10-1
python-importlib 0.9.10-1
python-importlib 0.9.10-1
python-imposm 2.5.0-3build1
python-imposm-parser 1.0.5-1build1
python-indicate 12.10.1-0ubuntu3
python-indigo 1.1.11-2
python-iniparse 0.4-2.1build1
python-initgroups 0.4-2.1build1
python-inotifyx 0.2.0-1
python-input-pad 1.0.3-1
python-insanity 1.0.3-1
python-instant 1.3.0-1
python-iowait 0.1-1.1build1
python-ipaddr 2.1.10-1
python-ipcalc 0.5.2-0ubuntu1
python-ipdb 0.8-1
python-iplib 1.1-3ubuntu2
python-iptcdata 1.0.4-3ubuntu3
python-ipy 1:0.81-1
python-irclib 0.4.8-1.1
python-iso8583 1.2-0ubuntu2
python-iso8601 0.1.10-0ubuntu1
python-isodate 0.4.6-1
python-jabber 0.5.0-1.5ubuntu1
python-jabberbot 0.15-1
python-jarabe-0.96 0.96.1-2.1git1
python-jaxml 3.01-6.1
python-jinja2 2.7.2-2
python-joblib 0.7.1-1
python-jpylyzer 1.10.1-1
python-jpype 0.5.4.2-3
python-jsonpickle 0.6.1-1
python-jsonpipe 0.0.8-5
python-jsonrpc2 0.3.2-4
python-jsonschema 2.3.0-1build1
python-jswebkit 0.0.3-2build1
python-junitxml 0.6-1.1build1
python-kaa-base 0.6.0+svn4596-1
python-kaa-imlib2 0.2.3+svn4596-2
python-kaa-metadata 0.7.7+svn4596-4
python-kajiki 0.4.4-1ubuntu1
python-kde4 4:4.13.3-0ubuntu0.1
python-kde4-dev 4:4.13.3-0ubuntu0.1
python-kerberos 1.1+svn10616-2
python-keybinder 0.3.0-2
python-keyczar 0.6~b.061709+svn502-1
python-keyring 3.5-1
python-keystone 1:2014.1.4-0ubuntu2
python-keystoneclient 1:0.7.1-ubuntu1
python-kid 0.9.6-2.1
python-kinterbasdb 3.3.0-3
python-kiwi 1.9.22-2
python-kjbuckets 1:1.0.0-15.1
python-kml 1.3.0~r864-2
python-kombu 3.0.7-1ubuntu1
python-krbv 1.0.90-1
python-ktoblzcheck 1.44-1ubuntu1
python-kwwidgets 1.0.0~cvs20100930-8
python-kzorp 3.9.5-4
python-laditools 1.0.1-2
python-lamson 1.0pre11-1
python-landslide 1.0.1-1
python-larch 1.20131130-1
python-lasso 2.4.0-2build1
python-launchpadlib 1.10.2+ds-2
python-lazr.restfulclient 0.13.3-1build1
python-lazr.uri 1.0.3-1build1
python-lazyarray 0.1.0-1
python-ldap 2.4.10-1build1
python-ldaptor 0.0.43+debian1-7
python-ldb 1:1.1.16-1
python-ldns 1.6.17-1
python-ldtp 2.3.1-1
python-lepl 5.1.3-2
python-leveldb 0~svn68-2build1
python-levenshtein 0.11.2-1build1
python-lfc 1.8.7-3
python-lhapdf 5.9.1-3build1
python-libapparmor 2.8.95~2430-0ubuntu5.1
python-libavg 1.8.0-1
python-libcloud 0.15.1-1~ubuntu14.04.1
python-libconcord 1.0-2ubuntu1
python-libhamlib2 1.2.15.3-1ubuntu4
python-libipa-hbac 1.11.5-1ubuntu3
python-liblarch 2.1.0-2
python-liblarch-gtk 2.1.0-2
python-liblas 1.7.0+dfsg-4
python-liblcms 1.19.dfsg-1.2ubuntu5
python-liblicense 0.8.1-3ubuntu1
python-liblinear 1.8+dfsg-1ubuntu1
python-liblo 0.9.1-4build2
python-libmimic 1.0.4-2.1ubuntu1
python-libpcap 0.6.4-1
python-libproxy 0.4.11-0ubuntu4
python-libravatar 1.6-2
python-librdf 1.0.16.1-1.1ubuntu1
python-libssh2 1.0.0-1.1
python-libsvm 3.12-1
python-libtorrent 0.16.13-1ubuntu2.1
python-libvirt 1.2.2-0ubuntu2
python-libvoikko 3.7-2ubuntu2
python-libxml2 2.9.1+dfsg1-3ubuntu4.4
python-libxslt1 1.1.28-2build1
python-lightblue 0.3.2-1ubuntu3
python-lilv 0.16.0~dfsg0-1
python-linaro-image-tools 2013.09-2
python-llfuse 0.40-2build2
python-llvm 0.40-2build2
python-lockfile 1:0.8-2ubuntu2
python-loggingx 0.1.3-1.1build1
python-logilab-astng 0.24.3-1ubuntu1
python-logilab-common 0.61.0-1
python-logilab-constraint 0.5.0-2
python-logsparser 0.4-1
python-louie 1.1-2
python-louis 2.5.3-2ubuntu1
python-lucene 3.5.0-1.2
python-lunar 2.0.1-2.2ubuntu1
python-lunch 0.4.0-1
python-lxml 3.3.3-1ubuntu0.1
python-lzma 0.5.3-2build1
python-lzo 1.08-1
python-m2crypto 0.21.1-3ubuntu5
python-macaron 0.3.1-1
python-magic 1:5.14-2ubuntu3.3
python-magic-dbg 1:5.14-2ubuntu3.3
python-mailer 0.7-1ubuntu2
python-mailutils 1:2.99.98-1.1
python-mako 0.9.1-1
python-mapnik2 2.2.0+ds1-6build2
python-mapscript 6.4.1-2
python-markdown 2.4-1
python-markupsafe 0.18-1build2
python-mathgl 2.1.3.1-4ubuntu3
python-matplotlib 1.3.1-1ubuntu5
python-matplotlib-data 1.3.1-1ubuntu5
python-mdp 3.3-1
python-mecab 0.99.6-1
python-mecavideo 6.1-1
python-mechanize 1:0.2.5-3
python-medusa 1:0.5.4-7build1
python-melange 1:0.5.4-7build1
python-melangeclient 1:0.5.4-7build1
python-meld3 0.6.10-1
python-meliae 0.4.0-1build1
python-memcache 1.53-1build1
python-messaging 0.5.12+debian-1
python-metaconfig 0.1.4a1-3
python-mhash 1.4-1build1
python-mididings 0~20120419~ds0-4
python-midiutil 0.87-3
python-migrate 0.8.2-3ubuntu1
python-milter 1.0-1
python-mimeparse 0.1.4-1build1
python-ming 1:0.4.5-1ubuntu5
python-minimal 2.7.5-5ubuntu3
python-minimock 1.2.7-1build1
python-mlpy 2.2.0~dfsg1-2.1
python-mlpy-lib 2.2.0~dfsg1-2.1
python-mlt5 2.2.0~dfsg1-2.1
python-mmkeys 1.6.2.1-5.1
python-mock 1.0.1-3
python-mocker 1.0-2
python-mod-pywebsocket 0.7.9-1
python-mode 1:6.1.3-1
python-modestmaps 1.3.1-1
python-moinmoin 1.9.7-1ubuntu2
python-monajat 2.6.3-2
python-mongoengine 0.6.13-2
python-moovida 0.6.13-2
python-mosquitto 0.15-2ubuntu1
python-mox 0.5.3-3build1
python-mpd 0.3.0-4
python-mpdclient 0.11.1-3
python-mpi 2.9.4-1
python-mpi4py 1.3.1+hg20131106-1build3
python-mpikmeans 1.5-1build3
python-mpltoolkits.basemap 1.0.7+dfsg-1
python-mpltoolkits.basemap-data 1.0.7+dfsg-1
python-mpmath 0.18-1
python-mrjob 0.3.3.2-1
python-msnlib 3.8-1
python-mtbl 0.2-1
python-multipartposthandler 0.1.0-2
python-munkres 1.0.6-1
python-musicbrainz2 0.7.4-1
python-musicbrainzngs 0.4-1
python-mutagen 1.22-1ubuntu2
python-mvpa 0.4.8-3
python-mvpa-lib 0.4.8-3
python-mvpa2 2.2.0-4ubuntu2
python-mvpa2-lib 2.2.0-4ubuntu2
python-mygpoclient 1.7-1
python-mysql.connector 1.1.6-1
python-mysqldb 1.2.3-2ubuntu1
python-nautilus 1.1-4
python-ncap 1.9.2-1build1
python-necpp 1.5.0+cvs20101003-2.2ubuntu1
python-neo 0.3.3-1
python-netaddr 0.7.10-1ubuntu1.1
python-netcdf 2.9.4-1
python-netfilter 0.5.9-1
python-netifaces 0.8-3build1
python-netio230a 1.0.1-3
python-networkx 1.8.1-0ubuntu3
python-neuroshare 0.8.5-1
python-nevow 0.10.0-5
python-newt 0.52.15-2ubuntu5
python-nflog 0.2-3build1
python-nfqueue 0.4-6
python-nibabel 1.2.2-1
python-nids 0.6.1-1build1
python-nifti 0.20100607.1-4
python-nipype 0.9.2-1
python-nitime 0.4-2ubuntu1
python-nmap 0.3.2-1
python-nodebox-web 1.9.4.6-2
python-nose 1.3.1-2
python-nosexcover 1.0.7-1ubuntu1
python-notify 0.1.1-3ubuntu2
python-notify2 0.3-2
python-notmuch 0.17-3
python-nova 1:2014.1.4-0ubuntu2
python-novaclient 1:2.17.0-0ubuntu1
python-novnc 1:0.4+dfsg+1+20131010+gitf68af8af3d-2
python-nss 0.12-1
python-numexpr 2.2.2-4build1
python-numm 0.5-1
python-numpy 1:1.8.2-0ubuntu0.1
python-nut 2.7.1-1ubuntu1
python-nwdiag 1.0.0-1
python-nwsclient 1.6.4-8build1
python-nwsserver 2.0.0-2build1
python-nxt 2.2.2-2
python-nxt-filer 2.2.2-2
python-oauth 1.0.1-3build2
python-oauth2 1.5.211-2ubuntu3
python-oauthlib 0.6.1-1
python-obexftp 0.23-1.2ubuntu3
python-objgraph 1.8.0-1
python-ogg 1.3+repack-5ubuntu2
python-okasha 0.2.4-1
python-okasha-examples 0.2.4-1
