bundler 1.3.5-2ubuntu1
ruby-oily-png 1.1.0-3build1
ruby-okular 4:4.13.0-0ubuntu1
ruby-ole 1.2.11.7-2
ruby-open4 1.3.0-1
ruby-opengl 0.60.1+dfsg2-3ubuntu1
ruby-openid 2.1.8debian-6
ruby-opennebula 3.4.1-4.1ubuntu1
ruby-packet 0.1.15-5
ruby-pango 2.1.0-1
ruby-parser 3.2.2-1
ruby-parsetree 3.2.2-1
ruby-passenger 4.0.37-2
ruby-password 0.5.3-4
ruby-pcap 0.5.3-4
ruby-pdf-inspector 1.1.0-1
ruby-pdf-reader 1.1.1-2
ruby-peach 0.5.1-1
ruby-pg 0.17.0-1
ruby-pgplot 0.1.3-8
ruby-phonon 4:4.13.0-0ubuntu1
ruby-pkg-config 1.1.2-1
ruby-pkg-tools 1.1.2-1
ruby-plasma 4:4.13.0-0ubuntu1
ruby-platform 0.4.0-2
ruby-playerc 0.4.0-2
ruby-polyglot 0.3.3-4
ruby-popen4 0.1.4-1
ruby-poppler 2.1.0-1
ruby-posix-spawn 0.3.8-1
ruby-prawn 1.0.0~rc2+dfsg-1
ruby-prof 1.0.0~rc2+dfsg-1
ruby-progressbar 0.21.0-1
ruby-qdbm 1.8.78-3
ruby-qpid 0.16-7ubuntu5
ruby-qscintilla2 4:4.13.0-0ubuntu1
ruby-qt4 4:4.13.0-0ubuntu1
ruby-qt4-declarative 4:4.13.0-0ubuntu1
ruby-qt4-script 4:4.13.0-0ubuntu1
ruby-qt4-test 4:4.13.0-0ubuntu1
ruby-qt4-uitools 4:4.13.0-0ubuntu1
ruby-qt4-webkit 4:4.13.0-0ubuntu1
ruby-rack 1.5.2-1
ruby-rack-cache 1.2-3
ruby-rack-protection 1.5.1-1
ruby-rack-ssl 1.3.2-2
ruby-rack-test 0.6.2-2
ruby-rails-2.3 0.6.2-2
ruby-rails-3.2 3.2.16-1
ruby-railties-3.2 3.2.16-2
ruby-raindrops 0.12.0-2
ruby-rb-inotify 0.9.2-1
ruby-rc4 0.1.5-2
ruby-rchardet 1.3-3
ruby-rd 0.6.38-2
ruby-rdiscount 1.6.8-3build1
ruby-redcarpet 3.0.0-1
ruby-redcloth 4.2.9-3
ruby-remctl 3.8-3
ruby-rest-client 1.6.7-4
ruby-revolution 1.6.7-4
ruby-rhash 1.6.7-4
ruby-rmagick 2.13.2-3
ruby-romkan 0.4.0-1
ruby-ronn 0.7.3-2
ruby-rqrcode 0.4.2-2
ruby-rr 1.1.2-1
ruby-rspec 2.14.1-1
ruby-rspec-core 2.14.7-2
ruby-rspec-expectations 2.14.2-1
ruby-rspec-mocks 2.14.3-1
ruby-rsvg2 2.1.0-1
ruby-ruby2ruby 2.0.7-1
ruby-rubyforge 2.0.4-1
ruby-rubymail 1.0.0-2
ruby-rubytorrent 0.3-4
ruby-sass-rails 3.2.5-1
ruby-sdl 2.1.2-4
ruby-selinux 2.2.2-1ubuntu0.1
ruby-semanage 2.2-1
ruby-sequel 4.1.1-1
ruby-sequel-pg 1.6.8-1
ruby-serialport 1.3.0-1
ruby-session 3.1.0-1
ruby-setup 3.4.1-7
ruby-sexp-processor 4.4.1-1
ruby-shadow 2.2.0-1
ruby-shoulda 3.5.0-2
ruby-shoulda-context 1.1.2-1
ruby-shoulda-matchers 1.0.0~beta2-1
ruby-sigar 0.7.2-2
ruby-sinatra 1.4.3-2
ruby-slop 3.4.7-1
ruby-soprano 4:4.13.0-0ubuntu1
ruby-sourcify 0.5.0-2
ruby-spreadsheet 0.9.0-2
ruby-sprockets 2.10.1-1
ruby-sqlite3 1.3.8-2
ruby-stomp 1.3.2-1
ruby-svg-graph 1.0.5-2
ruby-switch 1.0.5-2
ruby-systemtimer 1.0.5-2
ruby-systemu 2.6.0-1
ruby-taglib2 0.1.5-2
ruby-term-ansicolor 1.0.7-1
ruby-termios 1.0.0-1
ruby-test-declarative 0.0.5-2
ruby-test-spec 0.10.0-3
ruby-test-unit 2.5.5-1
ruby-text 1.2.1-1
ruby-text-format 1.0.0-3
ruby-thor 0.18.1.git20140116-2
ruby-tidy 0.18.1.git20140116-2
ruby-tilt 2.0.0+really1.4.1-1
ruby-tioga 1.17-2
ruby-tmail 1.17-2
ruby-tokyocabinet 1.31-3
ruby-tomoe 1.31-3
ruby-transaction-simple 1.4.0.2-1
ruby-treetop 1.4.14-2
ruby-trollop 2.0-1
ruby-ttfunk 1.1.0+dfsg-1
ruby-twitter4r 1.1.0+dfsg-1
ruby-tzinfo 1.1.0-1
ruby-uconv 0.6.1-1
ruby-unf 0.0.5-1
ruby-unf-ext 0.0.6-2
ruby-usb 0.0.6-2
ruby-uuidtools 2.1.4-1
ruby-validatable 1.6.7-9
ruby-vte 2.1.0-1
ruby-webrobots 0.1.1-1
ruby-whitewash 2.0-1
ruby-will-paginate 3.0.5-1
ruby-wirble 0.1.3-4
ruby-xml-simple 1.1.1-1
ruby-xmlparser 0.7.2-3
ruby-xmmsclient 0.8+dfsg-9
ruby-yajl 1.2.0-1
ruby-yard-sinatra 1.0.0-1
ruby-zoom 0.4.1-6
ruby1.8-full 0.4.1-6
ruby1.9.1 1.9.3.484-2ubuntu1.2
ruby1.9.1-dev 1.9.3.484-2ubuntu1.2
ruby1.9.1-examples 1.9.3.484-2ubuntu1.2
ruby1.9.1-full 1.9.3.484-2ubuntu1.2
ruby1.9.3 1.9.3.484-2ubuntu1.2
