9menu 1.8-6
uim-gtk3 1:1.8.6-4ubuntu1
uim-qt 1:1.8.6-4ubuntu1
uim-xim 1:1.8.6-4ubuntu1
unagi 0.3.4-1ubuntu1
unagi-dev 0.3.4-1ubuntu1
unburden-home-dir 0.3.2.2
unclutter 8-19
unicode-screensaver 0.4-2
unifont-bin 1:6.3.20131221-1
unixodbc-bin 2.3.0-4
usbview 2.0-2
usermode 1.109-1
v4l2ucp 2.0.2-4
vala-terminal 1.3-4ubuntu1
vdesk 1.2-4
vdpau-va-driver 0.7.3-2ubuntu1.2
vdpauinfo 0.1-1
videogen 0.32-5
virtualbox-guest-x11 4.3.10-dfsg-1ubuntu3
vmware-view-open-client 4.3.10-dfsg-1ubuntu3
vnc4server 4.1.1+xorg4.3.0-37ubuntu5.0.1
vncsnapshot 1.2a-5.1
vtwm 5.4.7-2.2
w9wm 0.4.2-8
wavbreaker 0.11-1
wayv 0.3-5
wbar 2.3.4-2
wdm 1.28-16
webissues 1.1.1-1
windowlab 1.40-2
wininfo 0.7-5
wm2 4+svn20090216-3
wmacpi 2.2~rc5-1
wmail 2.0-3ubuntu1
wmaker 0.95.5-2ubuntu1
wmaker-common 0.95.5-2ubuntu1
wmaker-data 0.9~3-4
wmanager 0.2.1-11
wmbattery 2.42
wmbiff 0.4.27-2.1ubuntu1
wmbubble 1.50-1
wmbutton 0.7.0-2
wmcalclock 1.25-15
wmclock 1.0.14-3
wmclockmon 0.8.1-2ubuntu1
wmcoincoin 2.5.1e-1
wmcpu 1.4-4
wmcpuload 1.0.1-6
wmctrl 1.07-7
wmdate 0.7-4
wmdiskmon 0.0.2-2
wmdrawer 0.10.5-1.1ubuntu1
wmforkplop 0.9.3-2.1
wmfrog 0.2.0-4
wmhdplop 0.9.9-2.1
wmifinfo 0.09-6
wmifs 1.3b1-22
wmii 3.10~20120413+hg2813-6ubuntu1
wmitime 0.3-11
wmix 3.1-5
wmlongrun 0.3.0-pre1-4.2ubuntu1
wmmatrix 0.2-12
wmmemload 0.1.6-7
wmmixer 1.7+20120605-1
wmmon 1.1+20131205-1
wmmoonclock 1.28+20120605-1
wmnet 1.06-1
wmnut 0.64-1ubuntu1
wmpinboard 1.0-11
wmressel 0.8-5
wmshutdown 0.2-9
wmtemp 0.0.6-3.3
wmtime 1.1-1
wmwave 0.4-9ubuntu1
wmweather 2.4.5-2
wmweather+ 2.13-1
wmwork 0.2.6-1
wmxres 1.2-10
worker 2.19.6-1ubuntu1
worker-data 2.19.6-1ubuntu1
x-tile 2.5-2
x11-apps 7.7+2
x11-common 1:7.7+1ubuntu8.1
x11-session-utils 7.7+1
x11-utils 7.7+1
x11-xfs-utils 7.7+1
x11-xkb-utils 7.7+1
x11-xserver-utils 7.7+2ubuntu1
x11proto-bigreqs-dev 1:1.1.2-1
x11proto-composite-dev 1:0.4.2-2
x11proto-core-dev 7.0.26-1~ubuntu2
x11proto-damage-dev 1:1.2.1-2
x11proto-dmx-dev 1:2.3.1-2
x11proto-dri2-dev 2.8-2
x11proto-fixes-dev 1:5.0-2ubuntu2
