adacgi1 1.6-17
squidclient 3.3.8-1ubuntu6.2
squidguard 1.5-2
squidtaild 2.1a6-6
squirrelmail 2:1.4.23~svn20120406-2
squirrelmail-compatibility 2.0.16-1
squirrelmail-decode 1.2-1
squirrelmail-lockout 1.7-2
squirrelmail-logger 2.3.1-1
squirrelmail-quicksave 2.4.5-1
squirrelmail-secure-login 1.4-3
squirrelmail-sent-confirmation 1.6-2
squirrelmail-spam-buttons 2.3.1-1
squirrelmail-viewashtml 3.8-3
surf 0.4.1-8
surfraw 2.2.9-1
surfraw-extra 2.2.9-1
swaml 0.1.1-2
swish++ 6.1.5-2.2
swish-e 2.4.7-3ubuntu2
swish-e-dev 2.4.7-3ubuntu2
td2planet 0.3.0-1
tdiary 3.2.2-3
tdiary-contrib 3.2.2-1
tdiary-mode 3.2.2-1
tdiary-plugin 3.2.2-3
tdiary-theme 3.2.2-3
themole 0.3-1
thin 1.3.1-5
thin1.8 1.3.1-5
thin1.8 1.3.1-5
tidy 20091223cvs-1.2ubuntu1
tilecache 2.11-2
tilelite 0.1.5-2
tilestache 1.31.0-1ubuntu1
tinymce 3.4.8+dfsg0-1
tinyproxy 1.8.3-3ubuntu1
tntnet-runtime 2.2.1-1
torchat 0.9.9.553-1
torrentflux 2.4-5.1
trac 1.0.1-2
trac-announcer 0.12.1+r10986-2
trac-batchmodify 0.12.1+r10986-2
trac-bitten 0.6+final-3
trac-bitten-slave 0.6+final-3
trac-customfieldadmin 0.2.6+r10460-1
trac-diavisview 0.1+r11124-2
trac-email2trac 2.4.7-1
trac-httpauth 1.1+r6675-1
trac-ja-resource 1.1+r6675-1
trac-jsgantt 0.9+r11145-1
trac-mastertickets 3.0.2+20111224-2
trac-odtexport 0.6.0+svn10787-2
trac-privatetickets 2.0.3-3
trac-privateticketsplugin 2.0.3-3
trac-roadmap 0.4.1+r11241-1
trac-sensitivetickets 0.21-1
trac-subtickets 0.1.1+253f019-1
trac-tags 0.7+svn12392-1
trac-virtualticketpermissions 1.0.0+svn4153-1
trac-wikiprint 1.9.2-1.1
trac-wysiwyg 0.12.0.3+r10725-1
trac-xmlrpc 1.1.2+r10706-1
trafficserver 3.2.4-1ubuntu1
trafficserver-dev 3.2.4-1ubuntu1
trafficserver-plugin-conf-remap 3.2.4-1ubuntu1
typo3 4.5.32+dfsg1-1
typo3-database 4.5.32+dfsg1-1
typo3-dummy 4.5.32+dfsg1-1
typo3-src-4.5 4.5.32+dfsg1-1
ukolovnik 1.4-2
urlwatch 1.15-3
usemod-wiki 1.0.5-3
uwsgi 1.9.17.1-5build5
uwsgi-app-integration-plugins 1.9.17.1-5build5
uwsgi-core 1.9.17.1-5build5
